재야인사로	재야인사/NNG + 로/JKB
가까워진	가깝/VA + 어/EC + 지/VX + ㄴ/ETM
것은	것/NNB + 은/JX
70년	70/SN + 년/NNB
대	대/NNB
후반부터.	후반/NNG + 부터/JX + ./SF

그는	그/NP + 는/JX
친구인	친구/NNG + 이/VCP + ㄴ/ETM
김덕용	김덕용/NNP
의원을	의원/NNG + 을/JKO
통해	통하/VV + 아/EC
김	김/NNP
대통령과	대통령/NNG + 과/JKB
재야의	재야/NNG + 의/JKG
가교	가교/NNG
역할을	역할/NNG + 을/JKO
하고	하/VV + 고/EC
연설문을	연설문/NNG + 을/JKO
대신	대신/NNG
쓰기도	쓰/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

83년	83/SN + 년/NNB
김영삼	김영삼/NNP
씨의	씨/NNB + 의/JKG
단식	단식/NNG
투쟁	투쟁/NNG
후	후/NNG
그해	그해/NNG
8월	8/SN + 월/NNB
15일	15/SN + 일/NNB
서울과	서울/NNP + 과/JC
워싱턴에서	워싱턴/NNP + 에서/JKB
양	양/MM
김씨의	김/NNP + 씨/NNB + 의/JKG
공동	공동/NNG
명의로	명의/NNG + 로/JKB
발표된	발표/NNG + 되/XSV + ㄴ/ETM
공동	공동/NNG
성명도	성명/NNG + 도/JX
그의	그/NP + 의/JKG
손을	손/NNG + 을/JKO
거친	거치/VV + ㄴ/ETM
것이었다.	것/NNB + 이/VCP + 었/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
대선에선	대선/NNG + 에서/JKB + ㄴ/JX
김	김/NNP
대통령을	대통령/NNG + 을/JKO
지지하는	지지/NNG + 하/XSV + 는/ETM
재야	재야/NNG
인사	인사/NNG
5백	5/SN + 백/NR
여명을	여/XSN + 명/NNB + 을/JKO
묶어	묶/VV + 어/EC
'신한국	'/SS + 신한국/NNP
창조	창조/NNG
시민연합'을	시민/NNG + 연합/NNG + '/SS + 을/JKO
구성해	구성/NNG + 하/XSV + 아/EC
의장으로	의장/NNG + 으로/JKB
활동했다.	활동/NNG + 하/XSV + 았/EP + 다/EF + ./SF

대선후에는	대선/NNG + 후/NNG + 에/JKB + 는/JX
재야의	재야/NNG + 의/JKG
입장에서	입장/NNG + 에서/JKB
새정부의	새/MM + 정부/NNG + 의/JKG
개혁	개혁/NNG
과제를	과제/NNG + 를/JKO
뽑아	뽑/VV + 아/EC
김	김/NNP
대통령에게	대통령/NNG + 에게/JKB
보고하고	보고/NNG + 하/XSV + 고/EC
인사	인사/NNG
자문에도	자문/NNG + 에/JKB + 도/JX
응한	응하/VV + ㄴ/ETM
것으로	것/NNB + 으로/JKB
알려졌다.	알리/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

87년	87/SN + 년/NNB
대선에서	대선/NNG + 에서/JKB
후보	후보/NNG
단일화	단일/NNG + 화/XSN
운동을	운동/NNG + 을/JKO
벌였던	벌이/VV + 었/EP + 던/ETM
그는	그/NP + 는/JX
대선	대선/NNG
패배	패배/NNG
후	후/NNG
88년	88/SN + 년/NNB
천주교	천주교/NNG
신문인	신문/NNG + 이/VCP + ㄴ/ETM
평화	평화/NNG
신문을	신문/NNG + 을/JKO
창간,	창간/NNG + ,/SP
편집국장	편집국장/NNG
대리-논설위원을	대리/NNG + -/SS + 논설위원/NNG + 을/JKO
지내고,	지내/VV + 고/EC + ,/SP
90년엔	90/SN + 년/NNB + 에/JKB + ㄴ/JX
민주일보	민주일보/NNP
논설	논설/NNG
위원을	위원/NNG + 을/JKO
지냈다.	지내/VV + 었/EP + 다/EF + ./SF

그는	그/NP + 는/JX
"재야도	"/SS + 재야/NNG + 도/JX
이제	이제/MAG
투사의	투사/NNG + 의/JKG
시대는	시대/NNG + 는/JX
지나갔다"면서	지나가/VV + 았/EP + 다/EC + "/SS + 면서/EC
"그늘지고	"/SS + 그늘지/VV + 고/EC
소외된	소외/NNG + 되/XSV + ㄴ/ETM
계층의	계층/NNG + 의/JKG
아픔을	아픔/NNG + 을/JKO
함께	함께/MAG
하고	하/VV + 고/EC
그들의	그/NP + 들/XSN + 의/JKG
얘기를	얘기/NNG + 를/JKO
듣는데	듣/VV + 는데/EC
최선을	최선/NNG + 을/JKO
다하겠다"고	다/MAG + 하/XSV + 겠/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그는	그/NP + 는/JX
반유신	반/XPN + 유신/NNG
투쟁을	투쟁/NNG + 을/JKO
위해	위하/VV + 아/EC
당시	당시/NNG
김영삼	김영삼/NNP
신민당	신민당/NNP
총재를	총재/NNG + 를/JKO
상도동	상도동/NNP
자택으로	자택/NNG + 으로/JKB
찾아갔을	찾아가/VV + 았/EP + 을/ETM
때도	때/NNG + 도/JX
넥타이를	넥타이/NNG + 를/JKO
매지	매/VV + 지/EC
않았을	않/VX + 았/EP + 을/ETM
정도로	정도/NNG + 로/JKB
규격화된	규격/NNG + 화/XSN + 되/XSV + ㄴ/ETM
삶과는	삶/NNG + 과/JKB + 는/JX
동떨어져	동떨어지/VV + 어/EC
지내	지내/VV + 어/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

충남	충남/NNP
대덕군	대덕군/NNP
회덕면에서	회덕면/NNP + 에서/JKB
태어난	태어나/VV + ㄴ/ETM
그는	그/NP + 는/JX
등록금을	등록금/NNG + 을/JKO
내지	내/VV + 지/EC
못할	못하/VX + ㄹ/ETM
정도로	정도/NNG + 로/JKB
어려운	어렵/VA + ㄴ/ETM
환경	환경/NNG
속에서	속/NNG + 에서/JKB
자라났다.	자라나/VV + 았/EP + 다/EF + ./SF

결혼	결혼/NNG
초기이던	초기/NNG + 이/VCP + 던/ETM
60년대	60/SN + 년대/NNB
말	말/NNB
한때	한때/NNG
서울	서울/NNP
녹번동에서	녹번동/NNP + 에서/JKB
손수레로	손수레/NNG + 로/JKB
채소	채소/NNG
장사를	장사/NNG + 를/JKO
하기도	하/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

이때	이때/NNG
리어카를	리어카/NNG + 를/JKO
세워뒀던	세우/VV + 어/EC + 두/VX + 었/EP + 던/ETM
공사장의	공사장/NNG + 의/JKG
자재를	자재/NNG + 를/JKO
훔친	훔치/VV + ㄴ/ETM
도둑으로	도둑/NNG + 으로/JKB
오해받아	오해/NNG + 받/VV + 아/EC
6개월간	6/SN + 개월/NNB + 간/NNG
복역하기도	복역/NNG + 하/XSV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

대학	대학/NNG
재학	재학/NNG
중	중/NNB
경찰에	경찰/NNG + 에/JKB
쫓겨	쫓기/VV + 어/EC
학교	학교/NNG
1년	1/SN + 년/NNB
선배인	선배/NNG + 이/VCP + ㄴ/ETM
신홍범	신홍범/NNP
두레출판사	두레출판사/NNP
사장	사장/NNG
집에서	집/NNG + 에서/JKB
숨어	숨/VV + 어/EC
지내다	지내/VV + 다/EC
신	신/NNP
사장	사장/NNG
누이	누이/NNG
동생	동생/NNG
신춘자	신춘자/NNP
씨(49)와	씨/NNB + (/SS + 49/SN + )/SS + 와/JKB
결혼해	결혼/NNG + 하/XSV + 아/EC
4녀를	4/SN + 녀/NNG + 를/JKO
두었다.	두/VV + 었/EP + 다/EF + ./SF

92년	92/SN + 년/NNB
제	제/XPN
14차	14/SN + 차/NNB
한미군사위원회	한미군사위원회/NNP
실무	실무/NNG
책임자로	책임자/NNG + 로/JKB
한-미간	한/NNP + -/SS + 미/NNP + 간/NNB
군사	군사/NNG
현안인	현안/NNG + 이/VCP + ㄴ/ETM
평시	평시/NNG
작전	작전/NNG
통제권	통제/NNG + 권/XSN
이양	이양/NNG
협상에	협상/NNG + 에/JKB
참여했다.	참여/NNG + 하/XSV + 았/EP + 다/EF + ./SF

예편을	예편/NNG + 을/JKO
앞두고	앞두/VV + 고/EC
통합	통합/NNG
군제로의	군제/NNG + 로/JKB + 의/JKG
전환을	전환/NNG + 을/JKO
위한	위하/VV + ㄴ/ETM
연구	연구/NNG
위원장직을	위원장/NNG + 직/NNG + 을/JKO
맡아	맡/VV + 아/EC
군제	군제/NNG
개편을	개편/NNG + 을/JKO
추진했다.	추진/NNG + 하/XSV + 았/EP + 다/EF + ./SF

말이	말/NNG + 이/JKS
별로	별로/MAG
없는	없/VA + 는/ETM
실무형.	실무/NNG + 형/XSN + ./SF

▴	▴/SW
전남	전남/NNP
완도·56세	완도/NNP + ·/SP + 56/SN + 세/NNB
▴	▴/SW
육사	육사/NNP
16기	16/SN + 기/NNG
▴	▴/SW
사단장▴	사단장/NNG + ▴/SW
군단장	군단장/NNG
▴	▴/SW
합참	합참/NNG
전략기획본부장	전략/NNG + 기획/NNG + 본부장/NNG

재무부의	재무/NNG + 부/NNG + 의/JKG
세재-이재-증권업무를	세재/NNG + -/SS + 이재/NNG + -/SS + 증권/NNG + 업무/NNG + 를/JKO
두루	두루/MAG
섭렵한	섭렵/NNG + 하/XSV + ㄴ/ETM
재무부	재무/NNG + 부/NNG
토박이로	토박이/NNG + 로/JKB
세밀하고	세밀/XR + 하/XSA + 고/EC
무리하지	무리/NNG + 하/XSV + 지/EC
않는	않/VX + 는/ETM
업무	업무/NNG
추진이	추진/NNG + 이/JKS
장기이며	장기/NNG + 이/VCP + 며/EC
자신을	자신/NNG + 을/JKO
앞세우지	앞세우/VV + 지/EC
않는다.	않/VX + 는다/EF + ./SF

관세청장	관세청장/NNG
재직시	재직/NNG + 시/NNB
관세업무	관세/NNG + 업무/NNG
전산화에	전산/NNG + 화/XSN + 에/JKB
큰	크/VA + ㄴ/ETM
공을	공/NNG + 을/JKO
세웠다.	세우/VV + 었/EP + 다/EF + ./SF

▴	▴/SW
경남	경남/NNP
거창·53세	거창/NNP + ·/SP + 53/SN + 세/NNB
▴	▴/SW
경북대	경북대/NNP
사대	사대/NNG
사회학과	사회학/NNG + 과/NNG
▴	▴/SW
재무부	재무/NNG + 부/NNG
세제	세제/NNG
-	-/SS
증권보험	증권/NNG + 보험/NNG
-	-/SS
이재국장	이재국장/NNG
-	-/SS
국세심판소장	국세/NNG + 심판/NNG + 소장/NNG
-	-/SS
제2차관보	제/XPN + 2/SN + 차관보/NNG
▴	▴/SW
관세청장	관세청장/NNG

대선	대선/NNG
때	때/NNG
김영삼	김영삼/NNP
대통령의	대통령/NNG + 의/JKG
사조직인	사조직/NNG + 이/VCP + ㄴ/ETM
민주	민주/NNP
산악회에서	산악회/NNG + 에서/JKB
김	김/NNP
대통령의	대통령/NNG + 의/JKG
당선에	당선/NNG + 에/JKB
크게	크/VA + 게/EC
기여.	기여/NNG + ./SF

동국대	동국대/NNP
졸업	졸업/NNG
후	후/NNG
민주	민주/NNP
산악회	산악회/NNG
서산	서산/NNP
지부장을	지부장/NNG + 을/JKO
맡아	맡/VV + 아/EC
김	김/NNP
대통령	대통령/NNG
진영에	진영/NNG + 에/JKB
가담.	가담/NNG + ./SF

13대	13/SN + 대/NNB
때	때/NNG
민주당	민주당/NNP
후보로	후보/NNG + 로/JKB
서산에서	서산/NNP + 에서/JKB
출마,	출마/NNG + ,/SP
당선됐으나	당선/NNG + 되/XSV + 었/EP + 으나/EC
14대에는	14/SN + 대/NNB + 에/JKB + 는/JX
한영수	한영수/NNP
의원에게	의원/NNG + 에게/JKB
고배를	고배/NNG + 를/JKO
마셨다.	마시/VV + 었/EP + 다/EF + ./SF

▴	▴/SW
충남	충남/NNP
서산·46세	서산/NNP + ·/SP + 46/SN + 세/NNB
▴	▴/SW
민주당	민주당/NNP
원내부총무	원내/NNG + 부총무/NNG
▴	▴/SW
광주	광주/NNP
특위	특위/NNG
위원	위원/NNG
▴	▴/SW
민자당	민자당/NNP
정책운영실장	정책/NNG + 운영/NNG + 실장/NNG

업무	업무/NNG
장악력이	장악력/NNG + 이/JKS
뛰어나고	뛰어나/VA + 고/EC
두뇌	두뇌/NNG
회전이	회전/NNG + 이/JKS
빠른	빠르/VA + ㄴ/ETM
재사형.	재사/NNG + 형/XSN + ./SF

82년	82/SN + 년/NNB
물가국장	물가/NNG + 국장/NNG
시절	시절/NNG
치솟는	치솟/VV + 는/ETM
물가를	물가/NNG + 를/JKO
잡아	잡/VV + 아/EC
능력을	능력/NNG + 을/JKO
인정받기도	인정받/VV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

공정거래위원장(차관급)을	공정/NNG + 거래/NNG + 위원장/NNG + (/SS + 차관/NNG + 급/NNG + )/SS + 을/JKO
맡은	맡/VV + 은/ETM
뒤	뒤/NNG
개각	개각/NNG
때마다	때/NNG + 마다/JX
물망에만	물망/NNG + 에/JKB + 만/JX
오르다	오르/VV + 다/EC
5년만에	5/SN + 년/NNB + 만/NNB + 에/JKB
차관으로	차관/NNG + 으로/JKB
승진했다.	승진/NNG + 하/XSV + 았/EP + 다/EF + ./SF

▴	▴/SW
광주,	광주/NNP + ,/SP
54세	54/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
경제학과	경제학/NNG + 과/NNG
▴	▴/SW
경제기획원	경제/NNG + 기획원/NNG
경제협력국장-물가정책국장-기획관리실장	경제/NNG + 협력/NNG + 국장/NNG + -/SS + 물가/NNG + 정책/NNG + 국장/NNG + -/SS + 기획/NNG + 관리/NNG + 실장/NNG
▴	▴/SW
공정거래위원장	공정/NNG + 거래/NNG + 위원장/NNG

추진력이	추진력/NNG + 이/JKS
강한	강하/VV + ㄴ/ETM
총무처	총무처/NNG
관료로	관료/NNG + 로/JKB
요직을	요직/NNG + 을/JKO
두루	두루/MAG
거쳤다.	거치/VV + 었/EP + 다/EF + ./SF

91년	91/SN + 년/NNB
7개월간	7/SN + 개월/NNB + 간/NNG
민자당	민자당/NNP
전문	전문/NNG
위원으로	위원/NNG + 으로/JKB
재직하면서	재직/NNG + 하/XSV + 면서/EC
판단력과	판단력/NNG + 과/JC
정책	정책/NNG
입안	입안/NNG
능력을	능력/NNG + 을/JKO
인정받았다.	인정받/VV + 았/EP + 다/EF + ./SF

행정쇄신	행정/NNG + 쇄신/NNG
과제	과제/NNG
등을	등/NNB + 을/JKO
원만히	원만히/MAG
처리해	처리/NNG + 하/XSV + 아/EC
나갈	나가/VX + ㄹ/ETM
적임자라는	적임자/NNG + 이/VCP + 라는/ETM
평가.	평가/NNG + ./SF

▴	▴/SW
경북	경북/NNP
안동·53세	안동/NNP + ·/SP + 53/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
졸	졸/NNG
▴	▴/SW
행시	행시/NNG
10회	10/SN + 회/NNB
▴	▴/SW
총무처	총무처/NNG
행정관리국장	행정/NNG + 관리/NNG + 국장/NNG
▴	▴/SW
민자당	민자당/NNP
전문	전문/NNG
위원	위원/NNG
▴	▴/SW
총무처	총무처/NNG
기획관리실장	기획/NNG + 관리/NNG + 실장/NNG

63년	63/SN + 년/NNB
법제처	법제처/NNG
차장	차장/NNG
비서관으로	비서관/NNG + 으로/JKB
시작,	시작/NNG + ,/SP
88년	88/SN + 년/NNB
민자당	민자당/NNP
법사	법사/NNG
전문	전문/NNG
위원으로	위원/NNG + 으로/JKB
잠시	잠시/MAG
외도한	외도/NNG + 하/XSV + ㄴ/ETM
것을	것/NNB + 을/JKO
제외하고는	제외/NNG + 하/XSV + 고/EC + 는/JX
30년	30/SN + 년/NNB
동안	동안/NNG
줄곧	줄곧/MAG
법제처에서만	법제처/NNG + 에서/JKB + 만/JX
근무했다.	근무/NNG + 하/XSV + 았/EP + 다/EF + ./SF

부인	부인/NNG
김동길	김동길/NNP
여사와의	여사/NNG + 와/JKB + 의/JKG
사이에	사이/NNG + 에/JKB
1남	1/SN + 남/NNG
2녀.	2/SN + 녀/NNG + ./SF

▴	▴/SW
서울·53세	서울/NNP + ·/SP + 53/SN + 세/NNB
▴	▴/SW
서울대	서울대/NNP
법대	법대/NNG
졸	졸/NNG
▴	▴/SW
법제처	법제처/NNG
총무과장	총무/NNG + 과장/NNG
▴	▴/SW
법제관제	법제관제/NNG
2국장	2/SN + 국장/NNG
▴	▴/SW
민자당	민자당/NNP
법사	법사/NNG
전문	전문/NNG
위원	위원/NNG
▴	▴/SW
법제처	법제처/NNG
법제조정실장	법제/NNG + 조정/NNG + 실장/NNG

경찰	경찰/NNG
간부	간부/NNG
후보생	후보생/NNG
14기	14/SN + 기/NNG
출신으로	출신/NNG + 으로/JKB
줄곧	줄곧/MAG
경비와	경비/NNG + 와/JC
대공	대공/NNG
분야에서	분야/NNG + 에서/JKB
활동해	활동/NNG + 하/XSV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

추진력과	추진력/NNG + 과/JC
창안력이	창안력/NNG + 이/JKS
탁월하다는	탁월/XR + 하/XSA + 다는/ETM
평.	평/NNG + ./SF

서울경찰청장	서울경찰청장/NNG
재직시	재직/NNG + 시/NNB
대입	대입/NNG
부정을	부정/NNG + 을/JKO
파헤치고	파헤치/VV + 고/EC
호평을	호평/NNG + 을/JKO
받았다.	받/VV + 았/EP + 다/EF + ./SF

이광빈씨(56)와	이광빈/NNP + 씨/NNB + (/SS + 56/SN + )/SS + 와/JC
2남	2/SN + 남/NNG
1녀.	1/SN + 녀/NNG + ./SF

▴	▴/SW
경남	경남/NNP
창원·57세	창원/NNP + ·/SP + 57/SN + 세/NNB
▴	▴/SW
중앙대	중앙대/NNP
법정대	법정대/NNG
졸	졸/NNG
▴	▴/SW
서울	서울/NNP
종암서장	종암/NNP + 서장/NNG
인천	인천/NNP
시경	시경/NNG
국장	국장/NNG
▴	▴/SW
청와대	청와대/NNP
치안비서관	치안/NNG + 비서관/NNG
▴	▴/SW
서울경찰청장	서울경찰청장/NNG

신문사	신문사/NNG
정치	정치/NNG
부장을	부장/NNG + 을/JKO
거쳐	거치/VV + 어/EC
5공	5/SN + 공/NNG
출범과	출범/NNG + 과/JKB
함께	함께/MAG
민정당	민정당/NNP
전국구	전국구/NNG
의원으로	의원/NNG + 으로/JKB
정계에	정계/NNG + 에/JKB
진출.	진출/NNG + ./SF

여당	여당/NNG
당선이	당선/NNG + 이/JKS
힘든	힘들/VA + ㄴ/ETM
전북	전북/NNP
익산	익산/NNP
지역구에서	지역구/NNG + 에서/JKB
12대	12/SN + 대/NNB
때	때/NNG
당선했으나,	당선/NNG + 하/XSV + 았/EP + 으나/EC + ,/SP
13대에서	13/SN + 대/NNB + 에서/JKB
근소한	근소/XR + 하/XSA + ㄴ/ETM
표	표/NNG
차이로	차이/NNG + 로/JKB
낙선했다.	낙선/NNG + 하/XSV + 았/EP + 다/EF + ./SF

일	일/NNG
처리가	처리/NNG + 가/JKS
꼼꼼하고	꼼꼼/MAG + 하/XSA + 고/EC
판단력이	판단력/NNG + 이/JKS
뛰어나다는	뛰어나/VA + 다는/ETM
평.	평/NNG + ./SF

▴	▴/SW
전북	전북/NNP
익산·55세	익산/NNP + ·/SP + 55/SN + 세/NNB
▴	▴/SW
고려대	고려대/NNP
정외과	정외과/NNG
▴	▴/SW
중앙일보	중앙일보/NNP
정치부장	정치/NNG + 부장/NNG
▴	▴/SW
민자당	민자당/NNP
전북도지부	전북도/NNP + 지부/NNG
위원장	위원장/NNG

행시	행시/NNG
3회로	3/SN + 회/NNB + 로/JKB
66년	66/SN + 년/NNB
사무관으로	사무관/NNG + 으로/JKB
