"내일	"/SS + 내일/NNG
총에	총/NNG + 에/JKB
맞아	맞/VV + 아/EC
쓰러진	쓰러지/VV + ㄴ/ETM
젊은	젊/VA + 은/ETM
군인들과	군인/NNG + 들/XSN + 과/JKB
거리에서	거리/NNG + 에서/JKB
'오,	'/SS + 오/IC + ,/SP
필승	필승/NNG
코리아'를	코리아/NNP + '/SS + 를/JKO
외치며	외치/VV + 며/EC
환희에	환희/NNG + 에/JKB
차있던	차/VV + 아/EC + 있/VX + 던/ETM
청년들은	청년/NNG + 들/XSN + 은/JX
서로	서로/MAG
운명이	운명/NNG + 이/JKS
뒤바뀔	뒤바뀌/VV + ㄹ/ETM
수도	수/NNB + 도/JX
있었다.	있/VV + 었/EP + 다/EF + ./SF

같은	같/VA + 은/ETM
또래의	또래/NNG + 의/JKG
젊은이들이	젊은이/NNG + 들/XSN + 이/JKS
한편에서는	한편/NNG + 에서/JKB + 는/JX
축제를	축제/NNG + 를/JKO
벌이고,	벌이/VV + 고/EC + ,/SP
한편에서는	한편/NNG + 에서/JKB + 는/JX
죽어갔으니	죽/VV + 어/EC + 가/VX + 았/EP + 으니/EC
이	이/MM
얼마나	얼마나/MAG
비극적인	비극/NNG + 적/XSN + 이/VCP + ㄴ/ETM
대비인가.	대비/NNG + 이/VCP + ㄴ가/EF + ./SF

숨진	숨지/VV + ㄴ/ETM
군인들의	군인/NNG + 들/XSN + 의/JKG
유가족들이	유가족/NNG + 들/XSN + 이/JKS
어처구니	어처구니/NNG
없는	없/VA + 는/ETM
자식의	자식/NNG + 의/JKG
죽음에	죽음/NNG + 에/JKB
울부짖고	울부짖/VV + 고/EC
있는	있/VX + 는/ETM
그	그/MM
시각,	시각/NNG + ,/SP
서울	서울/NNP
거리에서는	거리/NNG + 에서/JKB + 는/JX
축포가	축포/NNG + 가/JKS
올라가고	올라가/VV + 고/EC
불꽃놀이가	불꽃놀이/NNG + 가/JKS
밤	밤/NNG
하늘을	하늘/NNG + 을/JKO
수놓았다.	수놓/VV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
그	그/MM
불꽃은	불꽃/NNG + 은/JX
빛을	빛/NNG + 을/JKO
잃었고,	잃/VV + 었/EP + 고/EC + ,/SP
태극기를	태극기/NNG + 를/JKO
흔들며	흔들/VV + 며/EC
귀가하는	귀가/NNG + 하/XSV + 는/ETM
사람들의	사람/NNG + 들/XSN + 의/JKG
어깨는	어깨/NNG + 는/JX
처져	처지/VV + 어/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

불안과	불안/NNG + 과/JC
우려의	우려/NNG + 의/JKG
그림자가	그림자/NNG + 가/JKS
얼굴에	얼굴/NNG + 에/JKB
드리워졌다.	드리우/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

29일	29/SN + 일/NNB
신문사에	신문사/NNG + 에/JKB
전화한	전화/NNG + 하/XSV + ㄴ/ETM
중년남자는	중년/NNG + 남자/NNG + 는/JX
"북한	"/SS + 북한/NNP
고물	고물/NNG
군함에	군함/NNG + 에/JKB
정통으로	정통/NNG + 으로/JKB
얻어맞고	얻어맞/VV + 고/EC
수십명이	수십/NR + 명/NNB + 이/JKS
죽거나	죽/VV + 거나/EC
다쳤다.	다치/VV + 었/EP + 다/EF + ./SF

우리가	우리/NP + 가/JKS
어떻게	어떻/VA + 게/EC
지켜온	지키/VV + 어/EC + 오/VX + ㄴ/ETM
나라인데	나라/NNG + 이/VCP + ㄴ데/EC
이	이/MM
지경이	지경/NNB + 이/JKC
됐느냐"고	되/VV + 었/EP + 느냐/EC + "/SS + 고/JKQ
울분을	울분/NNG + 을/JKO
토해냈다.	토하/VV + 아/EC + 내/VX + 었/EP + 다/EF + ./SF

"TV를	"/SS + TV/SL + 를/JKO
보니	보/VV + 니/EC
국가안전보장회의에	국가/NNG + 안전/NNG + 보장/NNG + 회의/NNG + 에/JKB
대통령이	대통령/NNG + 이/JKS
참석해	참석/NNG + 하/XSV + 아/EC
서해해전	서해/NNP + 해전/NNG
전사자들에	전사자/NNG + 들/XSN + 에/JKB
대한	대하/VV + ㄴ/ETM
묵념을	묵념/NNG + 을/JKO
하는데,	하/VV + 는데/EC + ,/SP
검은	검/VA + 은/ETM
넥타이가	넥타이/NNG + 가/JKC
아닌	아니/VCN + ㄴ/ETM
빨간	빨갛/VA + ㄴ/ETM
넥타이를	넥타이/NNG + 를/JKO
맸더라"라며	매/VV + 었/EP + 더라/EC + "/SS + 이/VCP + 라며/EC
"이럴	"/SS + 이렇/VA + ㄹ/ETM
수	수/NNB
있느냐"는	있/VV + 느냐/EC + "/SS + 는/ETM
항의전화도	항의/NNG + 전화/NNG + 도/JX
있었다.	있/VV + 었/EP + 다/EF + ./SF

정부	정부/NNG
당국이나	당국/NNG + 이나/JC
정치	정치/NNG
지도자들,	지도자/NNG + 들/XSN + ,/SP
일부	일부/NNG
방송매체	방송/NNG + 매체/NNG
등의	등/NNB + 의/JKG
안보	안보/NNG
불감증이	불감증/NNG + 이/JKS
위험수위를	위험/NNG + 수위/NNG + 를/JKO
넘어섰다고	넘어서/VV + 었/EP + 다고/EC
이들은	이/NP + 들/XSN + 은/JX
우려했다.	우려/NNG + 하/XSV + 았/EP + 다/EF + ./SF

작가	작가/NNG
복거일씨는	복거일/NNP + 씨/NNB + 는/JX
"정치	"/SS + 정치/NNG
지도자들이	지도자/NNG + 들/XSN + 이/JKS
군	군/NNG
지휘관들을	지휘관/NNG + 들/XSN + 을/JKO
정치인으로	정치인/NNG + 으로/JKB
만든	만들/VV + ㄴ/ETM
것이	것/NNB + 이/JKS
근본적인	근본/NNG + 적/XSN + 이/VCP + ㄴ/ETM
원인"이라고	원인/NNG + "/SS + 이/VCP + 라고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

현재	현재/MAG
우리	우리/NP
군	군/NNG
지휘관들은	지휘관/NNG + 들/XSN + 은/JX
군인이	군인/NNG + 이/JKC
아니라	아니/VCN + 라/EC
정치인으로서	정치인/NNG + 으로서/JKB
군사상황을	군사/NNG + 상황/NNG + 을/JKO
바라보도록	바라보/VV + 도록/EC
되어	되/VV + 어/EC
있다는	있/VX + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그는	그/NP + 는/JX
몇	몇/MM
달	달/NNG
전	전/NNG
우리	우리/NP
해경이	해경/NNG + 이/JKS
영해를	영해/NNG + 를/JKO
침범한	침범/NNG + 하/XSV + ㄴ/ETM
중국어선을	중국/NNP + 어선/NNG + 을/JKO
단속하러	단속/NNG + 하/XSV + 러/EC
올라갔다가	올라가/VV + 았/EP + 다가/EC
오히려	오히려/MAG
중국	중국/NNP
어부들에게	어부/NNG + 들/XSN + 에게/JKB
당하고	당하/VV + 고/EC
쫓겨난	쫓겨나/VV + ㄴ/ETM
웃지	웃/VV + 지/EC
못할	못하/VX + ㄹ/ETM
사건	사건/NNG
또한	또한/MAG
같은	같/VA + 은/ETM
맥락에서	맥락/NNG + 에서/JKB
설명할	설명/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다고	있/VV + 다고/EC
지적했다.	지적/NNG + 하/XSV + 았/EP + 다/EF + ./SF

일부	일부/NNG
진보세력들은	진보/NNG + 세력/NNG + 들/XSN + 은/JX
"서해교전은	"/SS + 서해/NNP + 교전/NNG + 은/JX
우발적인	우발/NNG + 적/XSN + 이/VCP + ㄴ/ETM
사건에	사건/NNG + 에/JKB
불과하다"며	불과/MAG + 하/XSA + 다/EC + "/SS + 며/EC
"이	"/SS + 이/MM
사건을	사건/NNG + 을/JKO
빌미로	빌미/NNG + 로/JKB
보수세력들이	보수/NNG + 세력/NNG + 들/XSN + 이/JKS
다시	다시/MAG
남북대립과	남북/NNP + 대립/NNG + 과/JC
냉전의	냉전/NNG + 의/JKG
논리로	논리/NNG + 로/JKB
돌아가려	돌아가/VV + 려/EC
한다"고	하/VX + ㄴ다/EC + "/SS + 고/JKQ
비난할지도	비난/NNG + 하/XSV + ㄹ지/EC + 도/JX
모른다.	모르/VV + ㄴ다/EF + ./SF

그러나	그러나/MAJ
모든	모든/MM
전쟁은	전쟁/NNG + 은/JX
우발적인	우발/NNG + 적/XSN + 이/VCP + ㄴ/ETM
사건으로부터	사건/NNG + 으로부터/JKB
확대됐고	확대/NNG + 되/XSV + 었/EP + 고/EC
우리	우리/NP
군에	군/NNG + 에/JKB
선제포격을	선제/NNG + 포격/NNG + 을/JKO
가하는	가하/VV + 는/ETM
것이	것/NNB + 이/JKS
바로	바로/MAG
냉전사고의	냉전/NNG + 사고/NNG + 의/JKG
결정체다.	결정체/NNG + 이/VCP + 다/EF + ./SF

북한이	북한/NNP + 이/JKS
한	한/MM
것은	것/NNB + 은/JX
우발이고	우발/NNG + 이/VCP + 고/EC
우리가	우리/NP + 가/JKS
하는	하/VV + 는/ETM
것은	것/NNB + 은/JX
'냉전'인가.	'/SS + 냉전/NNG + '/SS + 이/VCP + ㄴ가/EF + ./SF

우리는	우리/NP + 는/JX
월드컵	월드컵/NNG
축제로	축제/NNG + 로/JKB
상승하는	상승/NNG + 하/XSV + 는/ETM
국운과	국운/NNG + 과/JC
민족적	민족/NNG + 적/XSN
자긍심을	자긍심/NNG + 을/JKO
짓밟으려	짓밟/VV + 으려/EC
한	하/VX + ㄴ/ETM
북한의	북한/NNP + 의/JKG
의도와	의도/NNG + 와/JC
속셈을	속셈/NNG + 을/JKO
이번	이번/NNG
기회에	기회/NNG + 에/JKB
정확히	정확히/MAG
알아야	알/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

"오	"/SS + 오/IC
필승,	필승/NNG + ,/SP
코리아'	코리아/NNP + '/SS
'오	'/SS + 오/IC
피스(peace),	피스/NNG + (/SS + peace/SL + )/SS + ,/SP
코리아'는	코리아/NNP + '/SS + 는/JX
소리높여	소리/NNG + 높이/VV + 어/EC
외치기만	외치/VV + 기/ETN + 만/JX
한다고	하/VX + ㄴ다고/EC
이뤄지는	이루어지/VV + 는/ETM
것이	것/NNB + 이/JKC
아니다.	아니/VCN + 다/EF + ./SF

얼마	얼마/NNG
전	전/NNG
프랑스	프랑스/NNP
여배우가	여배우/NNG + 가/JKS
한국	한국/NNP
사람들의	사람/NNG + 들/XSN + 의/JKG
보신탕	보신탕/NNG
먹는	먹/VV + 는/ETM
것을	것/NNB + 을/JKO
강하게	강/XR + 하/XSA + 게/EC
비방해	비방/NNG + 하/XSV + 아/EC
월드컵	월드컵/NNG
개최	개최/NNG
직전의	직전/NNG + 의/JKG
한국을	한국/NNP + 을/JKO
긴장시켰던	긴장/NNG + 시키/XSV + 었/EP + 던/ETM
일이	일/NNG + 이/JKS
있었다.	있/VV + 었/EP + 다/EF + ./SF

아무리	아무리/MAG
생각해도	생각/NNG + 하/XSV + 아도/EC
기가	기/NNG + 가/JKS
막히고	막히/VV + 고/EC
분통이	분통/NNG + 이/JKS
터지는	터지/VV + 는/ETM
노릇이었다.	노릇/NNG + 이/VCP + 었/EP + 다/EF + ./SF

말고기를	말고기/NNG + 를/JKO
먹건,	먹/VV + 건/EC + ,/SP
달팽이를	달팽이/NNG + 를/JKO
먹건,	먹/VV + 건/EC + ,/SP
개구리를	개구리/NNG + 를/JKO
먹건,	먹/VV + 건/EC + ,/SP
남	남/NNG
먹는	먹/VV + 는/ETM
것	것/NNB
상관	상관/NNG
안	안/MAG
하고	하/VV + 고/EC
묵묵히	묵묵히/MAG
나	나/NP
먹고	먹/VV + 고/EC
싶은	싶/VX + 은/ETM
것	것/NNB
먹는	먹/VV + 는/ETM
사람을	사람/NNG + 을/JKO
왜	왜/MAG
뭐라	뭐/NP + 이/VCP + 라/EC
하느냐	하/VV + 느냐/EC
말이다.	말/NNG + 이/VCP + 다/EF + ./SF

그	그/MM
배우야	배우/NNG + 야/JX
워낙	워낙/MAG
개를	개/NNG + 를/JKO
좋아하니	좋아하/VV + 니/EC
개인의	개인/NNG + 의/JKG
취향에서	취향/NNG + 에서/JKB
개고기	개고기/NNG
먹는	먹/VV + 는/ETM
것이	것/NNB + 이/JKS
나쁘다고	나쁘/VA + 다고/EC
말할	말/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다	있/VV + 다/EC
치자.	치/VV + 자/EF + ./SF

더	더/MAG
기가	기/NNG + 가/JKS
막힌	막히/VV + ㄴ/ETM
것은	것/NNB + 은/JX
많은	많/VA + 은/ETM
서양인들이	서양인/NNG + 들/XSN + 이/JKS
보신탕	보신탕/NNG
먹는	먹/VV + 는/ETM
한국	한국/NNP
사람들을	사람/NNG + 들/XSN + 을/JKO
정말	정말/MAG
야만인이라고	야만인/NNG + 이/VCP + 라고/EC
보았다는	보/VV + 았/EP + 다는/ETM
사실이었다.	사실/NNG + 이/VCP + 었/EP + 다/EF + ./SF

후진국	후진국/NNG
지식인의	지식인/NNG + 의/JKG
열등감이라고	열등감/NNG + 이/VCP + 라고/EC
오해할까봐	오해/NNG + 하/XSV + ㄹ까/EC + 보/VX + 아/EC
되도록	되/VV + 도록/EC
이런	이런/MM
말	말/NNG
안	안/MAG
쓰고	쓰/VV + 고/EC
지나가려고	지나가/VV + 려고/EC
했지만	하/VX + 았/EP + 지만/EC
'오리엔탈리즘'	'/SS + 오리엔탈리즘/NNG + '/SS
'제국주의'	'/SS + 제국주의/NNG + '/SS
등등의	등등/NNB + 의/JKG
용어가	용어/NNG + 가/JKS
줄곧	줄곧/MAG
입안에	입/NNG + 안/NNG + 에/JKB
맴돌았다.	맴돌/VV + 았/EP + 다/EF + ./SF

자신의	자신/NNG + 의/JKG
기준으로	기준/NNG + 으로/JKB
동양의	동양/NNG + 의/JKG
문화를	문화/NNG + 를/JKO
야만으로	야만/NNG + 으로/JKB
보아왔던,	보/VV + 아/EC + 오/VX + 았/EP + 던/ETM + ,/SP
그리하여	그리하여/MAJ
남의	남/NNG + 의/JKG
나라	나라/NNG
문화를	문화/NNG + 를/JKO
서서히	서서히/MAG
말리는	말리/VV + 는/ETM
맛을	맛/NNG + 을/JKO
영토	영토/NNG
침범하는	침범/NNG + 하/XSV + 는/ETM
것보다	것/NNB + 보다/JKB
훨씬	훨씬/MAG
윗길로	윗길/NNG + 로/JKB
쳤던	치/VV + 었/EP + 던/ETM
그들의	그/NP + 들/XSN + 의/JKG
작태가	작태/NNG + 가/JKS
또	또/MAG
되풀이되는가	되풀이/NNG + 되/XSV + 는가/EC
싶어	싶/VX + 어/EC
입맛이	입맛/NNG + 이/JKS
썼던	쓰/VA + 었/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
한편으로는	한편/NNG + 으로/JKB + 는/JX
비온	비/NNG + 오/VV + ㄴ/ETM
뒤에	뒤/NNG + 에/JKB
벽에	벽/NNG + 에/JKB
붙어	붙/VV + 어/EC
느릿느릿	느릿느릿/MAG
움직이는	움직이/VV + 는/ETM
점액질의	점액질/NNG + 의/JKG
달팽이가	달팽이/NNG + 가/JKS
왜	왜/MAG
프랑스	프랑스/NNP
밥상에	밥상/NNG + 에/JKB
오르면	오르/VV + 면/EC
포도주,	포도주/NNG + ,/SP
샹송,	샹송/NNG + ,/SP
선남선녀의	선남선녀/NNG + 의/JKG
속삭임이	속삭임/NNG + 이/JKC
되는지	되/VV + 는지/EC
내심	내심/NNG
속이	속/NNG + 이/JKS
쓰렸다.	쓰리/VA + 었/EP + 다/EF + ./SF

프랑스	프랑스/NNP
사람에게	사람/NNG + 에게/JKB
개고기	개고기/NNG
하면	하/VV + 면/EC
한국형	한국/NNP + 형/XSN
레스토랑,	레스토랑/NNG + ,/SP
음악,	음악/NNG + ,/SP
동양의	동양/NNG + 의/JKG
신비로운	신비/NNG + 롭/XSA + ㄴ/ETM
남녀의	남녀/NNG + 의/JKG
대화가	대화/NNG + 가/JKS
떠오르게	떠오르/VV + 게/EC
할	하/VV + ㄹ/ETM
수는	수/NNB + 는/JX
없는	없/VA + 는/ETM
것일까?	것/NNB + 이/VCP + ㄹ까/EF + ?/SF

브리지트	브리지트/NNP
바르도의	바르도/NNP + 의/JKG
콧대를	콧대/NNG + 를/JKO
보기	보/VV + 기/ETN
좋게	좋/VA + 게/EC
눌러	누르/VV + 어/EC
놓는	놓/VX + 는/ETM
데	데/NNB
이것보다	이것/NP + 보다/JKB
더	더/MAG
통쾌한	통쾌/NNG + 하/XSA + ㄴ/ETM
방법이	방법/NNG + 이/JKS
어디	어디/NP
있겠는가	있/VV + 겠/EP + 는가/EC
말이다.	말/NNG + 이/VCP + 다/EF + ./SF

너희가	너희/NP + 가/JKS
이런	이런/MM
눈으로	눈/NNG + 으로/JKB
우리를	우리/NP + 를/JKO
보기	보/VV + 기/ETN
때문에	때문/NNB + 에/JKB
문제가	문제/NNG + 가/JKS
있다고	있/VV + 다고/EC
비판하는	비판/NNG + 하/XSV + 는/ETM
것도	것/NNB + 도/JX
중요하지만	중요/NNG + 하/XSA + 지만/EC
상대가	상대/NNG + 가/JKS
우리를	우리/NP + 를/JKO
존중하도록	존중/NNG + 하/XSV + 도록/EC
만드는	만들/VV + 는/ETM
것도	것/NNB + 도/JX
중요하다.	중요/NNG + 하/XSA + 다/EF + ./SF

어쩌면	어쩌면/MAG
보신탕	보신탕/NNG
해프닝은	해프닝/NNG + 은/JX
한국이	한국/NNP + 이/JKS
자신의	자신/NNG + 의/JKG
문화를	문화/NNG + 를/JKO
세계에	세계/NNG + 에/JKB
정립해	정립/NNG + 하/XSV + 아/EC
가는	가/VX + 는/ETM
과도기의	과도기/NNG + 의/JKG
현상일지	현상/NNG + 이/VCP + ㄹ지/EC
모른다.	모르/VV + ㄴ다/EF + ./SF

만약	만약/NNG
한국이	한국/NNP + 이/JKS
지구상의	지구/NNG + 상/XSN + 의/JKG
어느	어느/MM
나라처럼	나라/NNG + 처럼/JKB
내전이	내전/NNG + 이/JKS
끝난	끝나/VV + ㄴ/ETM
직후라	직후/NNG + 이/VCP + 라/EC
굶주림에	굶주림/NNG + 에/JKB
지쳐	지치/VV + 어/EC
기르는	기르/VV + 는/ETM
개를	개/NNB + 를/JKO
잡아	잡/VV + 아/EC
먹었다면	먹/VV + 었/EP + 다면/EC
그렇게	그렇/VA + 게/EC
비난받았겠는가?	비난/NNG + 받/VV + 았/EP + 겠/EP + 는가/EF + ?/SF

외국에	외국/NNG + 에/JKB
나가보면	나가/VV + 아/EC + 보/VX + 면/EC
한국의	한국/NNP + 의/JKG
이미지는	이미지/NNG + 는/JX
'삼성'	'/SS + 삼성/NNP + '/SS
'현대'	'/SS + 현대/NNP + '/SS
등	등/NNB
대기업에	대/XPN + 기업/NNG + 에/JKB
집중되어	집중/NNG + 되/XSV + 어/EC
있다.	있/VX + 다/EF + ./SF

전쟁으로	전쟁/NNG + 으로/JKB
폐허가	폐허/NNG + 가/JKC
된	되/VV + ㄴ/ETM
지가	지/NNB + 가/JKS
어제	어제/NNG
같은데,	같/VA + 은데/EC + ,/SP
고속성장을	고속/NNG + 성장/NNG + 을/JKO
하여	하/VV + 아/EC
이제는	이제/NNG + 는/JX
성능	성능/NNG
좋은	좋/VA + 은/ETM
자동차도	자동차/NNG + 도/JX
만들고	만들/VV + 고/EC
괜찮은	괜찮/VA + 은/ETM
건물도	건물/NNG + 도/JX
지을	짓/VV + 을/ETM
경제력을	경제력/NNG + 을/JKO
갖춘	갖추/VV + ㄴ/ETM
나라,	나라/NNG + ,/SP
그러나	그러나/MAJ
아직	아직/MAG
어떤	어떤/MM
문화가	문화/NNG + 가/JKS
있는지는	있/VV + 는지/EC + 는/JX
모르는	모르/VV + 는/ETM
나라….	나라/NNG + …/SE + ./SF

이	이/MM
상황에서	상황/NNG + 에서/JKB
돈이	돈/NNG + 이/JKS
주는	주/VV + 는/ETM
이미지	이미지/NNG
중	중/NNB
천박함·속물성이	천박/NNG + 하/XSA + ㅁ/ETN + ·/SP + 속물/NNG + 성/XSN + 이/JKS
강조되면서	강조/NNG + 되/XSV + 면서/EC
한국	한국/NNP
사람들은	사람/NNG + 들/XSN + 은/JX
문화가	문화/NNG + 가/JKS
없기	없/VA + 기/ETN
때문에	때문/NNB + 에/JKB
애완견을	애완견/NNG + 을/JKO
키우는	키우/VV + 는/ETM
문화를	문화/NNG + 를/JKO
즐기지	즐기/VV + 지/EC
못하고	못하/VX + 고/EC
식욕으로	식욕/NNG + 으로/JKB
처리하는	처리/NNG + 하/XSV + 는/ETM
국민이라는	국민/NNG + 이/VCP + 라는/ETM
부정적인	부정/NNG + 적/XSN + 이/VCP + ㄴ/ETM
이미지가	이미지/NNG + 가/JKS
생성되는	생성/NNG + 되/XSV + 는/ETM
것인지도	것/NNB + 이/VCP + ㄴ지/EC + 도/JX
모른다.	모르/VV + ㄴ다/EF + ./SF

이제	이제/MAG
우리도	우리/NP + 도/JX
세계인의	세계인/NNG + 의/JKG
머리에	머리/NNG + 에/JKB
금방	금방/MAG
떠오를	떠오르/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
문화	문화/NNG
코드를	코드/NNG + 를/JKO
개발하고	개발/NNG + 하/XSV + 고/EC
소개해야	소개/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
시점이	시점/NNG + 이/JKC
되었는데	되/VV + 었/EP + 는데/EC
이런	이런/MM
맥락에서	맥락/NNG + 에서/JKB
어제	어제/NNG
막을	막/NNG + 을/JKO
내린	내리/VV + ㄴ/ETM
2002	2002/SN
한·일	한/NNP + ·/SP + 일/NNP
월드컵은	월드컵/NNG + 은/JX
우리	우리/NP
문화	문화/NNG
코드를	코드/NNG + 를/JKO
정립할	정립/NNG + 하/XSV + ㄹ/ETM
중요한	중요/NNG + 하/XSA + ㄴ/ETM
계기가	계기/NNG + 가/JKC
될	되/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

그중	그중/NNG
한	한/MM
요소가	요소/NNG + 가/JKS
'냄비	'/SS + 냄비/NNG
문화'의	문화/NNG + '/SS + 의/JKG
긍정적	긍정/NNG + 적/XSN
특성이라고	특성/NNG + 이/VCP + 라고/EC
본다.	보/VV + ㄴ다/EF + ./SF

지금까지	지금/NNG + 까지/JX
냄비	냄비/NNG
문화는	문화/NNG + 는/JX
전통이	전통/NNG + 이/JKS
단절되고	단절/NNG + 되/XSV + 고/EC
뿌리가	뿌리/NNG + 가/JKS
깊지	깊/VA + 지/EC
못하여	못하/VX + 아/EC
중심을	중심/NNG + 을/JKO
못	못/MAG
잡는	잡/VV + 는/ETM
한국의	한국/NNP + 의/JKG
천박함을	천박/NNG + 하/XSA + ㅁ/ETN + 을/JKO
비판하는	비판/NNG + 하/XSV + 는/ETM
용어로	용어/NNG + 로/JKB
