엊그제	엊그제/NNG
적설량이	적설량/NNG + 이/JKS
10㎝가	10/SN + ㎝/SW + 가/JKS
넘어서야만	넘어서/VV + 어야/EC + 만/JX
교통	교통/NNG
비상	비상/NNG
대책을	대책/NNG + 을/JKO
세우도록	세우/VV + 도록/EC
되어	되/VV + 어/EC
있다는	있/VX + 다는/ETM
규칙을	규칙/NNG + 을/JKO
내세워	내세우/VV + 어/EC
그	그/MM
무거운	무겁/VA + ㄴ/ETM
엉덩이를	엉덩이/NNG + 를/JKO
조금도	조금/NNG + 도/JX
움직이지	움직이/VV + 지/EC
않았다.	않/VX + 았/EP + 다/EF + ./SF

그들은	그/NP + 들/XSN + 은/JX
그저	그저/MAG
창	창/NNG
밖으로	밖/NNG + 으로/JKB
눈구경	눈/NNG + 구경/NNG
하기에	하/VV + 기에/EC
바빴나보다.	바쁘/VA + 았/EP + 나/EC + 보/VX + 다/EF + ./SF

늘	늘/MAG
그래	그러/VV + 어/EC
왔지만	오/VX + 았/EP + 지만/EC
지하철도	지하철/NNG + 도/JX
시민들의	시민/NNG + 들/XSN + 의/JKG
교통을	교통/NNG + 을/JKO
외면하기는	외면/NNG + 하/XSV + 기/ETN + 는/JX
매일반이었다.	매일반/NNG + 이/VCP + 었/EP + 다/EF + ./SF

지상	지상/NNG
교통이	교통/NNG + 이/JKS
마비되면	마비/NNG + 되/XSV + 면/EC
당연히	당연히/MAG
사람들은	사람/NNG + 들/XSN + 은/JX
지하로	지하/NNG + 로/JKB
몰린다.	몰리/VV + ㄴ다/EF + ./SF

가뜩이나	가뜩이나/MAG
붐비는	붐비/VV + 는/ETM
퇴근길의	퇴근길/NNG + 의/JKG
지하철이	지하철/NNG + 이/JKS
얼마나	얼마나/MAG
터져	터지/VV + 어/EC
나갈	나가/VX + ㄹ/ETM
것인지	것/NNB + 이/VCP + ㄴ지/EC
짐작	짐작/NNG
못	못/MAG
했을	하/VV + 았/EP + 을/ETM
턱이	턱/NNB + 이/JKS
없다.	없/VA + 다/EF + ./SF

시민들을	시민/NNG + 들/XSN + 을/JKO
위한다는	위하/VV + ㄴ다는/ETM
봉사의	봉사/NNG + 의/JKG
마음씨가	마음씨/NNG + 가/JKS
조금이나마	조금/NNG + 이나마/JX
있었다면	있/VV + 었/EP + 다면/EC
어떻게	어떻/VA + 게/EC
해서든	하/VX + 아서든/EC
증차를	증차/NNG + 를/JKO
하고	하/VV + 고/EC
배차	배차/NNG
간격을	간격/NNG + 을/JKO
좁히고	좁히/VV + 고/EC
두루	두루/MAG
연장	연장/NNG
운행도	운행/NNG + 도/JX
했을	하/VV + 았/EP + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
지하철의	지하철/NNG + 의/JKG
책임자들은	책임자/NNG + 들/XSN + 은/JX
자기네들의	자기/NP + 네/XSN + 들/XSN + 의/JKG
퇴근길만	퇴근길/NNG + 만/JX
걱정했다.	걱정/NNG + 하/XSV + 았/EP + 다/EF + ./SF

밤늦도록	밤늦/VA + 도록/EC
거리의	거리/NNG + 의/JKG
질서는	질서/NNG + 는/JX
엉망이었다.	엉망/NNG + 이/VCP + 었/EP + 다/EF + ./SF

그나마	그나마/MAG
거리마다	거리/NNG + 마다/JX
교통	교통/NNG
경찰들이	경찰/NNG + 들/XSN + 이/JKS
지켜주었더라도	지키/VV + 어/EC + 주/VX + 었/EP + 더라도/EC
그렇게까지	그렇/VA + 게/EC + 까지/JX
교통이	교통/NNG + 이/JKS
마비되지는	마비/NNG + 되/XSV + 지/EC + 는/JX
않았을	않/VX + 았/EP + 을/ETM
게다.	것/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
다른	다른/MM
때엔	때/NNG + 에/JKB + ㄴ/JX
그렇게나	그렇/VA + 게/EC + 나/JX
흔하던	흔하/VA + 던/ETM
경찰들이	경찰/NNG + 들/XSN + 이/JKS
통	통/MAG
보이지	보이/VV + 지/EC
않았다.	않/VX + 았/EP + 다/EF + ./SF

싱가포르의	싱가포르/NNP + 의/JKG
한	한/MM
백화점의	백화점/NNG + 의/JKG
전자	전자/NNG
제품	제품/NNG
코너엔	코너/NNG + 에/JKB + ㄴ/JX
한국제	한국제/NNG
TV와	TV/SL + 와/JC
일제	일제/NNG
TV가	TV/SL + 가/JKS
나란히	나란히/MAG
놓여	놓이/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

일제	일제/NNG
TV가	TV/SL + 가/JKS
가격이	가격/NNG + 이/JKS
약간	약간/MAG
비싸지만	비싸/VA + 지만/EC
잘	잘/MAG
팔리고	팔리/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

무심결에	무심결/NNG + 에/JKB
일제	일제/NNG
TV를	TV/SL + 를/JKO
살펴보다	살펴보/VV + 다/EC
이	이/MM
TV의	TV/SL + 의/JKG
한쪽	한쪽/NNG
귀퉁이에서	귀퉁이/NNG + 에서/JKB
'메이드	'/SS + 메이드/NNG
인	인/NNG
말레이시아'라는	말레이시아/NNP + '/SS + 이/VCP + 라는/ETM
원산지	원산지/NNG
표지를	표지/NNG + 를/JKO
발견한	발견/NNG + 하/XSV + ㄴ/ETM
것은	것/NNB + 은/JX
다소	다소/MAG
뜻밖이었다.	뜻밖/NNG + 이/VCP + 었/EP + 다/EF + ./SF

상표만	상표/NNG + 만/JX
일본	일본/NNP
것이지	것/NNB + 이/VCP + 지/EC
만든	만들/VV + ㄴ/ETM
곳은	곳/NNG + 은/JX
말레이시아였기	말레이시아/NNP + 이/VCP + 었/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

옆에	옆/NNG + 에/JKB
놓여	놓이/VV + 어/EC
있는	있/VX + 는/ETM
퍼스널	퍼스널/NNG
컴퓨터에도	컴퓨터/NNG + 에/JKB + 도/JX
'메이드	'/SS + 메이드/NNG
인	인/NNG
타일랜드'	타일랜드/NNP + '/SS
'메이드	'/SS + 메이드/NNG
인	인/NNG
말레이시아'라는	말레이시아/NNP + '/SS + 이/VCP + 라는/ETM
원산지	원산지/NNG
표지와	표지/NNG + 와/JC
일본	일본/NNP
유수의	유수/NNG + 의/JKG
상표들이	상표/NNG + 들/XSN + 이/JKS
나란히	나란히/MAG
붙어	붙/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

상하의	상하/NNG + 의/JKG
나라인	나라/NNG + 이/VCP + ㄴ/ETM
싱가포르에	싱가포르/NNP + 에/JKB
걸맞지	걸맞/VA + 지/EC
않게	않/VX + 게/EC
진열대에	진열대/NNG + 에/JKB
걸려	걸리/VV + 어/EC
있는	있/VX + 는/ETM
바바리	바바리/NNG
코트의	코트/NNG + 의/JKG
대부분은	대부분/NNG + 은/JX
'메이드	'/SS + 메이드/NNG
인	인/NNG
타일랜드'라는	타일랜드/NNP + '/SS + 이/VCP + 라는/ETM
표시가	표시/NNG + 가/JKS
새겨져	새기/VV + 어/EC + 지/VX + 어/EC
있다.	있/VX + 다/EF + ./SF

동남아	동남아/NNP
순회	순회/NNG
취재길에	취재/NNG + 길/NNG + 에/JKB
들른	들르/VV + ㄴ/ETM
싱가포르의	싱가포르/NNP + 의/JKG
이	이/MM
백화점에서	백화점/NNG + 에서/JKB
'메이드	'/SS + 메이드/NNG
인	인/NNG
코리아'와	코리아/NNP + '/SS + 와/JC
'메이드	'/SS + 메이드/NNG
인	인/NNG
아세안'과의	아세안/NNP + '/SS + 과/JKB + 의/JKG
경쟁이	경쟁/NNG + 이/JKS
이미	이미/MAG
시작되었다는	시작/NNG + 되/XSV + 었/EP + 다는/ETM
생각이	생각/NNG + 이/JKS
문득	문득/MAG
들지	들/VV + 지/EC
않을	않/VX + 을/ETM
수	수/NNB
없었다.	없/VA + 었/EP + 다/EF + ./SF

만약	만약/NNG
지금은	지금/NNG + 은/JX
일본	일본/NNP
상표로	상표/NNG + 로/JKB
팔리고	팔리/VV + 고/EC
있는	있/VX + 는/ETM
이	이/MM
제품들이	제품/NNG + 들/XSN + 이/JKS
앞으로	앞/NNG + 으로/JKB
태국이나	태국/NNP + 이나/JC
말레이시아	말레이시아/NNP
등의	등/NNB + 의/JKG
자국	자국/NNG
고유	고유/NNG
상표로	상표/NNG + 로/JKB
팔리게	팔리/VV + 게/EC
된다면	되/VV + ㄴ다면/EC
한국	한국/NNP
상품이	상품/NNG + 이/JKS
그래도	그러/VV + 어도/EC
경쟁력을	경쟁력/NNG + 을/JKO
가질	가지/VV + ㄹ/ETM
수	수/NNB
있을까	있/VV + 을까/EC
하는	하/VV + 는/ETM
불안감도	불안감/NNG + 도/JX
함께	함께/MAG
찾아	찾/VV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

말로만	말/NNG + 로/JKB + 만/JX
듣다가	듣/VV + 다가/EC
눈으로	눈/NNG + 으로/JKB
직접	직접/MAG
확인한	확인/NNG + 하/XSV + ㄴ/ETM
말레이시아,	말레이시아/NNP + ,/SP
인도네시아	인도네시아/NNP
등	등/NNB
아세안의	아세안/NNP + 의/JKG
성장세는	성장세/NNG + 는/JX
이처럼	이/NP + 처럼/JKB
이미	이미/MAG
인상적인	인상/NNG + 적/XSN + 이/VCP + ㄴ/ETM
차원을	차원/NNG + 을/JKO
넘어서고	넘어서/VV + 고/EC
있었기	있/VX + 었/EP + 기/ETN
때문에	때문/NNB + 에/JKB
불안감은	불안감/NNG + 은/JX
두려움으로	두려움/NNG + 으로/JKB
이어졌다.	이어지/VV + 었/EP + 다/EF + ./SF

불안한	불안/NNG + 하/XSA + ㄴ/ETM
마음을	마음/NNG + 을/JKO
더욱	더욱/MAG
어둡게	어둡/VA + 게/EC
한	하/VX + ㄴ/ETM
것은	것/NNB + 은/JX
아세안의	아세안/NNP + 의/JKG
비약적인	비약/NNG + 적/XSN + 이/VCP + ㄴ/ETM
발전	발전/NNG
뒤에	뒤/NNG + 에/JKB
버티고	버티/VV + 고/EC
있는	있/VX + 는/ETM
일본의	일본/NNP + 의/JKG
손길이었다.	손길/NNG + 이/VCP + 었/EP + 다/EF + ./SF

원유를	원유/NNG + 를/JKO
비롯한	비롯/XR + 하/XSV + ㄴ/ETM
무진장한	무진장/NNG + 하/XSA + ㄴ/ETM
천연	천연/NNG
자원,	자원/NNG + ,/SP
값싼	값싸/VA + ㄴ/ETM
노동력,	노동력/NNG + ,/SP
광활한	광활/XR + 하/XSA + ㄴ/ETM
땅,	땅/NNG + ,/SP
3억이	3/SN + 억/NR + 이/JKS
넘는	넘/VV + 는/ETM
내수	내수/NNG
시장,	시장/NNG + ,/SP
수준급의	수준급/NNG + 의/JKG
지원	지원/NNG
시설,	시설/NNG + ,/SP
이	이/MM
모든	모든/MM
것을	것/NNB + 을/JKO
갖춘	갖추/VV + ㄴ/ETM
동남	동남/NNG
아시아의	아시아/NNP + 의/JKG
무한한	무한/NNG + 하/XSA + ㄴ/ETM
가능성을	가능/NNG + 성/XSN + 을/JKO
꿰뚫어	꿰뚫/VV + 어/EC
본	보/VX + ㄴ/ETM
일본은	일본/NNP + 은/JX
이미	이미/MAG
10년	10/SN + 년/NNB
전부터	전/NNG + 부터/JX
뛰어들어	뛰어들/VV + 어/EC
투자하고,	투자/NNG + 하/XSV + 고/EC + ,/SP
공장을	공장/NNG + 을/JKO
짓고	짓/VV + 고/EC
그	그/MM
대가로	대가/NNG + 로/JKB
엄청난	엄청나/VA + ㄴ/ETM
돈을	돈/NNG + 을/JKO
벌어가고	벌/VV + 어/EC + 가/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

물론	물론/MAG
지금은	지금/NNG + 은/JX
동남	동남/NNG
아시아의	아시아/NNP + 의/JKG
공장	공장/NNG
대부분이	대부분/NNG + 이/JKS
일본	일본/NNP
자본과	자본/NNG + 과/JC
기술로	기술/NNG + 로/JKB
세워지고	세우/VV + 어/EC + 지/VX + 고/EC
일본	일본/NNP
상표의	상표/NNG + 의/JKG
제품을	제품/NNG + 을/JKO
만들어	만들/VV + 어/EC
내고	내/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
우리가	우리/NP + 가/JKS
그랬던	그렇/VA + 었/EP + 던/ETM
것처럼	것/NNB + 처럼/JKB
조만간	조만간/MAG
경쟁력을	경쟁력/NNG + 을/JKO
갖춘	갖추/VV + ㄴ/ETM
동남	동남/NNG
아시아	아시아/NNP
제품이	제품/NNG + 이/JKS
세계	세계/NNG
시장에	시장/NNG + 에/JKB
쏟아져	쏟아지/VV + 어/EC
나올	나오/VV + ㄹ/ETM
날이	날/NNG + 이/JKS
멀지	멀/VA + 지/EC
않았다는	않/VX + 았/EP + 다는/ETM
것이	것/NNB + 이/JKS
현지에	현지/NNG + 에/JKB
진출해	진출/NNG + 하/XSV + 아/EC
있는	있/VX + 는/ETM
한국	한국/NNP
상사원들의	상사원/NNG + 들/XSN + 의/JKG
말이기도	말/NNG + 이/VCP + 기/ETN + 도/JX
하다.	하/VX + 다/EF + ./SF

우리의	우리/NP + 의/JKG
자랑거리인	자랑거리/NNG + 이/VCP + ㄴ/ETM
세계	세계/NNG
최고의	최고/NNG + 의/JKG
경제	경제/NNG
성장률도	성장/NNG + 률/XSN + 도/JX
태국의	태국/NNP + 의/JKG
연평균	연평균/NNG
12%의	12/SN + %/SW + 의/JKG
성장률에	성장/NNG + 률/XSN + 에/JKB
이미	이미/MAG
빛을	빛/NNG + 을/JKO
잃었고,	잃/VV + 었/EP + 고/EC + ,/SP
말레이시아의	말레이시아/NNP + 의/JKG
국민	국민/NNG
소득은	소득/NNG + 은/JX
이미	이미/MAG
2천	2/SN + 천/NR
달러를	달러/NNB + 를/JKO
넘어선	넘어서/VV + ㄴ/ETM
지	지/NNB
오래다.	오래/VA + 다/EF + ./SF

인도네시아제	인도네시아제/NNG
신발은	신발/NNG + 은/JX
세계	세계/NNG
시장을	시장/NNG + 을/JKO
무서운	무섭/VA + ㄴ/ETM
속도로	속도/NNG + 로/JKB
잠식하고	잠식/NNG + 하/XSV + 고/EC
있으며,	있/VX + 으며/EC + ,/SP
말레이시아는	말레이시아/NNP + 는/JX
벌써	벌써/MAG
국산	국산/NNG
자동차를	자동차/NNG + 를/JKO
수출하기	수출/NNG + 하/XSV + 기/ETN
시작했다.	시작/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이제는	이제/NNG + 는/JX
눈을	눈/NNG + 을/JKO
동남	동남/NNG
아시아로도	아시아/NNP + 로/JKB + 도/JX
돌려	돌리/VV + 어/EC
아세안	아세안/NNP
국가들이	국가/NNG + 들/XSN + 이/JKS
어떻게	어떻/VA + 게/EC
뛰고	뛰/VV + 고/EC
있는지	있/VX + 는지/EC
바로	바로/MAG
보아야	보/VV + 아야/EC
할	하/VX + ㄹ/ETM
때가	때/NNG + 가/JKC
아닐까.	아니/VCN + ㄹ까/EF + ./SF

그들은	그/NP + 들/XSN + 은/JX
현재	현재/MAG
무서운	무섭/VA + ㄴ/ETM
속도로	속도/NNG + 로/JKB
우리	우리/NP
뒤를	뒤/NNG + 를/JKO
쫓아오고	쫓아오/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

몇	몇/MM
년	년/NNB
사이	사이/NNG
추월을	추월/NNG + 을/JKO
목표로	목표/NNG + 로/JKB
하고	하/VV + 고/EC
있기도	있/VX + 기/ETN + 도/JX
하다.	하/VX + 다/EF + ./SF

그리고	그리고/MAJ
왜	왜/MAG
일본이	일본/NNP + 이/JKS
소련,	소련/NNP + ,/SP
중국은	중국/NNP + 은/JX
거들떠	거들뜨/VV + 어/EC
보지도	보/VX + 지/EC + 도/JX
않고	않/VX + 고/EC
아세안으로	아세안/NNP + 으로/JKB
달려가고	달려가/VV + 고/EC
있는지도	있/VX + 는지/EC + 도/JX
생각해	생각/NNG + 하/XSV + 아/EC
봐야	보/VX + 아야/EC
하지	하/VV + 지/EC
않을까.	않/VX + 을까/EF + ./SF

우리가	우리/NP + 가/JKS
이들	이/NP + 들/XSN
동남아와	동남아/NNP + 와/JKB
공존하면서	공존/NNG + 하/XSV + 면서/EC
함께	함께/MAG
성장하는	성장/NNG + 하/XSV + 는/ETM
협력의	협력/NNG + 의/JKG
길도	길/NNG + 도/JX
모색하기	모색/NNG + 하/XSV + 기/ETN
시작해야	시작/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

북방	북방/NNG
정책도	정책/NNG + 도/JX
중요하다고들	중요/NNG + 하/XSA + 다고/EC + 들/XSN
하지만	하/VV + 지만/EC
'남방정책'도	'/SS + 남방/NNG + 정책/NNG + '/SS + 도/JX
우리에게	우리/NP + 에게/JKB
시급한	시급/XR + 하/XSA + ㄴ/ETM
과제가	과제/NNG + 가/JKC
아닐까	아니/VCN + ㄹ까/EC
하는	하/VV + 는/ETM
생각이	생각/NNG + 이/JKS
든다.	들/VV + ㄴ다/EF + ./SF

행정부(또는	행정부/NNG + (/SS + 또는/MAG
내각)의	내각/NNG + )/SS + 의/JKG
구성은	구성/NNG + 은/JX
말할	말/NNG + 하/XSV + ㄹ/ETM
필요도	필요/NNG + 도/JX
없이	없이/MAG
대통령의	대통령/NNG + 의/JKG
고유한	고유/NNG + 하/XSA + ㄴ/ETM
권한에	권한/NNG + 에/JKB
속한다.	속하/VV + ㄴ다/EF + ./SF

헌법에도	헌법/NNG + 에/JKB + 도/JX
대통령을	대통령/NNG + 을/JKO
수반으로	수반/NNG + 으로/JKB
하는	하/VV + 는/ETM
정부에	정부/NNG + 에/JKB
행정권이	행정/NNG + 권/XSN + 이/JKS
있다고	있/VV + 다고/EC
했고	하/VV + 았/EP + 고/EC
대통령이	대통령/NNG + 이/JKS
국무	국무/NNG
총리,	총리/NNG + ,/SP
장관을	장관/NNG + 을/JKO
비롯한	비롯/XR + 하/XSV + ㄴ/ETM
공무원의	공무원/NNG + 의/JKG
임면권을	임면/NNG + 권/XSN + 을/JKO
갖는다고	갖/VV + 는다고/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

곧	곧/MAG
대통령은	대통령/NNG + 은/JX
정부를	정부/NNG + 를/JKO
구성할	구성/NNG + 하/XSV + ㄹ/ETM
권한과	권한/NNG + 과/JC
책임을	책임/NNG + 을/JKO
갖고	갖/VV + 고/EC
있는	있/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

꼭	꼭/MAG
법이	법/NNG + 이/JKC
아니더라도	아니/VCN + 더라도/EC
모든	모든/MM
권력의	권력/NNG + 의/JKG
핵심이	핵심/NNG + 이/JKS
인사에	인사/NNG + 에/JKB
있다는	있/VV + 다는/ETM
것쯤은	것/NNB + 쯤/NNG + 은/JX
정치적	정치/NNG + 적/XSN
상식이다.	상식/NNG + 이/VCP + 다/EF + ./SF

인사권을	인사/NNG + 권/XSN + 을/JKO
쥔	쥐/VV + ㄴ/ETM
사람이	사람/NNG + 이/JKS
곧	곧/MAG
권력자이며	권력자/NNG + 이/VCP + 며/EC
실권자인	실권자/NNG + 이/VCP + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

대통령의	대통령/NNG + 의/JKG
권력도	권력/NNG + 도/JX
궁극적으로는	궁극/NNG + 적/XSN + 으로/JKB + 는/JX
인사권에서	인사/NNG + 권/XSN + 에서/JKB
비롯된다.	비롯/XR + 되/XSV + ㄴ다/EF + ./SF

어느	어느/MM
대통령이	대통령/NNG + 이/JKS
훌륭한	훌륭/XR + 하/XSA + ㄴ/ETM
대통령이었느냐	대통령/NNG + 이/VCP + 었/EP + 느냐/EC
아니냐를	아니/VCN + 냐/EC + 를/JKO
가름하는	가름/NNG + 하/XSV + 는/ETM
요소	요소/NNG
가운데는	가운데/NNG + 는/JX
본인의	본인/NNG + 의/JKG
능력과	능력/NNG + 과/JC
의식이	의식/NNG + 이/JKS
얼마나	얼마나/MAG
뛰어났느냐는	뛰어나/VA + 았/EP + 느냐는/ETM
것도	것/NNB + 도/JX
있겠지만	있/VV + 겠/EP + 지만/EC
실은	실은/MAG
사람을	사람/NNG + 을/JKO
얼마나	얼마나/MAG
잘	잘/MAG
썼느냐는	쓰/VV + 었/EP + 느냐는/ETM
것이	것/NNB + 이/JKS
보다	보다/MAG
중요하게	중요/NNG + 하/XSA + 게/EC
작용해	작용/NNG + 하/XSV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

흔히	흔히/MAG
훌륭한	훌륭/XR + 하/XSA + ㄴ/ETM
지도자는	지도자/NNG + 는/JX
그의	그/NP + 의/JKG
참모들에	참모/NNG + 들/XSN + 에/JKB
의해	의하/VV + 아/EC
이루어진다고	이루어지/VV + ㄴ다고/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

따라서	따라서/MAJ
대통령이	대통령/NNG + 이/JKS
누구를	누구/NP + 를/JKO
총리로	총리/NNG + 로/JKB
쓰고,	쓰/VV + 고/EC + ,/SP
누구를	누구/NP + 를/JKO
장관으로	장관/NNG + 으로/JKB
쓰고,	쓰/VV + 고/EC + ,/SP
누구를	누구/NP + 를/JKO
차관으로	차관/NNG + 으로/JKB
쓸	쓰/VV + ㄹ/ETM
것이냐는	것/NNB + 이/VCP + 냐는/ETM
것은	것/NNB + 은/JX
오로지	오로지/MAG
대통령만의	대통령/NNG + 만/JX + 의/JKG
권한이라는	권한/NNG + 이/VCP + 라는/ETM
인식에는	인식/NNG + 에/JKB + 는/JX
이의가	이의/NNG + 가/JKS
있을	있/VV + 을/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

그런데	그런데/MAJ
다만	다만/MAG
대통령이	대통령/NNG + 이/JKS
그런	그런/MM
권한을	권한/NNG + 을/JKO
행사하는	행사/NNG + 하/XSV + 는/ETM
데	데/NNB
있어	있/VV + 어/EC
몇	몇/MM
가지	가지/NNB
절차를	절차/NNG + 를/JKO
밟도록	밟/VV + 도록/EC
법으로	법/NNG + 으로/JKB
정해	정하/VV + 아/EC
놓은	놓/VX + 은/ETM
것이	것/NNB + 이/JKS
있다.	있/VV + 다/EF + ./SF

헌법은	헌법/NNG + 은/JX
대통령이	대통령/NNG + 이/JKS
국무	국무/NNG
총리를	총리/NNG + 를/JKO
임명할	임명/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
국회의	국회/NNG + 의/JKG
동의를	동의/NNG + 를/JKO
얻도록	얻/VV + 도록/EC
했으며,	하/VX + 았/EP + 으며/EC + ,/SP
장관은	장관/NNG + 은/JX
총리의	총리/NNG + 의/JKG
제청을	제청/NNG + 을/JKO
받아	받/VV + 아/EC
대통령이	대통령/NNG + 이/JKS
임명하도록	임명/NNG + 하/XSV + 도록/EC
명문으로	명문/NNG + 으로/JKB
규정하고	규정/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

차관의	차관/NNG + 의/JKG
임명	임명/NNG
절차는	절차/NNG + 는/JX
법의	법/NNG + 의/JKG
미비로	미비/NNG + 로/JKB
현행법상	현행법/NNG + 상/XSN
분명한	분명/MAG + 하/XSA + ㄴ/ETM
규정이	규정/NNG + 이/JKS
없으나	없/VA + 으나/EC
장관의	장관/NNG + 의/JKG
의견을	의견/NNG + 을/JKO
