지나간	지나가/VV + ㄴ/ETM
경제의	경제/NNG + 의/JKG
2중	2/SN + 중/NNG
광시곡의	광시곡/NNG + 의/JKG
틈바귀에서	틈바귀/NNG + 에서/JKB
우왕좌왕하며,	우왕좌왕/NNG + 하/XSV + 며/EC + ,/SP
기업은	기업/NNG + 은/JX
기득권과	기득/NNG + 권/XSN + 과/JC
새로운	새롭/VA + ㄴ/ETM
기업	기업/NNG
환경	환경/NNG
사이에서	사이/NNG + 에서/JKB
갈피를	갈피/NNG + 를/JKO
못	못/MAG
잡은	잡/VV + 은/ETM
채	채/NNB
정부만	정부/NNG + 만/JX
원망하는가	원망/NNG + 하/XSV + 는가/EC
하면,	하/VV + 면/EC + ,/SP
근로자는	근로자/NNG + 는/JX
제몫	저/NP + 의/JKG + 몫/NNG
찾기에,	찾/VV + 기/ETN + 에/JKB + ,/SP
이해	이해/NNG
집단은	집단/NNG + 은/JX
목소리	목소리/NNG
높이기에만	높이/VV + 기/ETN + 에/JKB + 만/JX
열중함으로써	열중/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
사회	사회/NNG
경제적	경제/NNG + 적/XSN
아노미	아노미/NNG
현상으로	현상/NNG + 으로/JKB
치닫고	치닫/VV + 고/EC
말았다.	말/VX + 았/EP + 다/EF + ./SF

이	이/MM
달갑지	달갑/VA + 지/EC
않은	않/VX + 은/ETM
80년대의	80/SN + 년대/NNB + 의/JKG
유산은	유산/NNG + 은/JX
하루속히	하루속히/MAG
청산돼야	청산/NNG + 되/XSV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

그러나	그러나/MAJ
이것은	이것/NP + 은/JX
5공청산보다	5/SN + 공/NNG + 청산/NNG + 보다/JKB
훨씬	훨씬/MAG
더	더/MAG
어려울지도	어렵/VA + ㄹ지/EC + 도/JX
모른다.	모르/VV + ㄴ다/EF + ./SF

그	그/MM
첫째	첫째/NR
이유는	이유/NNG + 는/JX
우리가	우리/NP + 가/JKS
그동안	그동안/NNG
경제	경제/NNG
구조의	구조/NNG + 의/JKG
고도화	고도/NNG + 화/XSN
조정에	조정/NNG + 에/JKB
너무	너무/MAG
태만했던	태만/NNG + 하/XSA + 았/EP + 던/ETM
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

90년대	90/SN + 년대/NNB
이후의	이후/NNG + 의/JKG
한국	한국/NNP
경제는	경제/NNG + 는/JX
결코	결코/MAG
80년대	80/SN + 년대/NNB
또는	또는/MAG
그	그/MM
이전의	이전/NNG + 의/JKG
운행	운행/NNG
방식이나	방식/NNG + 이나/JC
동인	동인/NNG
또는	또는/MAG
외적	외/NNG + 적/XSN
조건에	조건/NNG + 에/JKB
의존해서는	의존/NNG + 하/XSV + 아서/EC + 는/JX
더이상	더/MAG + 이상/NNG
나아갈	나아가/VV + ㄹ/ETM
수	수/NNB
없다는	없/VA + 다는/ETM
철저한	철저/NNG + 하/XSA + ㄴ/ETM
자기	자기/NP
인식이	인식/NNG + 이/JKS
무엇보다도	무엇/NP + 보다/JKB + 도/JX
중요하다.	중요/NNG + 하/XSA + 다/EF + ./SF

정부	정부/NNG
지원과	지원/NNG + 과/JC
시장	시장/NNG
독과점,	독과점/NNG + ,/SP
싼	싸/VA + ㄴ/ETM
임금과	임금/NNG + 과/JC
특혜적	특혜/NNG + 적/XSN
행정,	행정/NNG + ,/SP
그리고	그리고/MAJ
언제나	언제나/MAG
보장받을	보장/NNG + 받/VV + 을/ETM
수	수/NNB
있는	있/VV + 는/ETM
초과	초과/NNG
이윤의	이윤/NNG + 의/JKG
가능성을	가능/NNG + 성/XSN + 을/JKO
전제로	전제/NNG + 로/JKB
하는	하/VV + 는/ETM
경제	경제/NNG
환경은	환경/NNG + 은/JX
더이상	더/MAG + 이상/NNG
기대할	기대/NNG + 하/XSV + ㄹ/ETM
수도	수/NNB + 도/JX
없고	없/VA + 고/EC
기대해서도	기대/NNG + 하/XSV + 아서/EC + 도/JX
안된다.	안/MAG + 되/XSV + ㄴ다/EF + ./SF

세계	세계/NNG
시장	시장/NNG
경쟁에서	경쟁/NNG + 에서/JKB
살아남을	살아남/VV + 을/JKO
수	수/NNB
있는	있/VV + 는/ETM
유일한	유일/NNG + 하/XSA + ㄴ/ETM
돌파구는	돌파구/NNG + 는/JX
기술,	기술/NNG + ,/SP
상품,	상품/NNG + ,/SP
시장	시장/NNG
개혁에서	개혁/NNG + 에서/JKB
찾을	찾/VV + 을/ETM
수밖에	수/NNB + 밖에/JX
없는	없/VA + 는/ETM
냉엄한	냉엄/XR + 하/XSA + ㄴ/ETM
현실을	현실/NNG + 을/JKO
솔직히	솔직히/MAG
받아들여야	받아들이/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

세계	세계/NNG
시장은	시장/NNG + 은/JX
소련,	소련/NNP + ,/SP
동구의	동구/NNP + 의/JKG
변혁과	변혁/NNG + 과/JC
EC통합을	EC/SL + 통합/NNG + 을/JKO
주축으로	주축/NNG + 으로/JKB
미증유의	미증유/NNG + 의/JKG
지각	지각/NNG
변동을	변동/NNG + 을/JKO
시작하고	시작/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

이	이/MM
대규모의	대/XPN + 규모/NNG + 의/JKG
시장	시장/NNG
변동은	변동/NNG + 은/JX
자칫하면	자칫/MAG + 하/XSV + 면/EC
우리와	우리/NP + 와/JKB
유사한	유사/NNG + 하/XSA + ㄴ/ETM
중진형,	중진/NNG + 형/XSN + ,/SP
저위	저위/NNG
기술형	기술/NNG + 형/XSN
경제의	경제/NNG + 의/JKG
탈락과	탈락/NNG + 과/JC
쇠퇴를	쇠퇴/NNG + 를/JKO
촉진시킬	촉진/NNG + 시키/XSV + ㄹ/ETM
가능성을	가능/NNG + 성/XSN + 을/JKO
직시할	직시/NNG + 하/XSV + ㄹ/ETM
필요가	필요/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

거대	거대/NNG
경제권의	경제/NNG + 권/XSN + 의/JKG
블록화	블록/NNG + 화/XSN
추세에	추세/NNG + 에/JKB
새롭게	새롭/VA + 게/EC
대응하기	대응/NNG + 하/XSV + 기/ETN
위해서는	위하/VV + 아서/EC + 는/JX
기술,	기술/NNG + ,/SP
생산성	생산/NNG + 성/XSN
개혁에	개혁/NNG + 에/JKB
온	온/MM
나라의	나라/NNG + 의/JKG
잠재력을	잠재력/NNG + 을/JKO
집중시키지	집중/NNG + 시키/XSV + 지/EC
않으면	않/VX + 으면/EC
안된다.	안/MAG + 되/XSV + ㄴ다/EF + ./SF

기술력을	기술력/NNG + 을/JKO
축으로	축/NNG + 으로/JKB
한	하/VV + ㄴ/ETM
대대적인	대대적/NNG + 이/VCP + ㄴ/ETM
산업	산업/NNG
구조	구조/NNG
혁신을	혁신/NNG + 을/JKO
서둘지	서둘/VV + 지/EC
않으면,	않/VX + 으면/EC + ,/SP
지금	지금/MAG
수준의	수준/NNG + 의/JKG
경쟁력과	경쟁력/NNG + 과/JC
생산성만으로는	생산/NNG + 성/XSN + 만/JX + 으로/JKB + 는/JX
더이상	더/MAG + 이상/NNG
대외	대외/NNG
지향적	지향/NNG + 적/XSN
발전이	발전/NNG + 이/JKS
불가능하게	불/XPN + 가능/NNG + 하/XSA + 게/EC
될	되/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

정치나	정치/NNG + 나/JC
정부,	정부/NNG + ,/SP
기업과	기업/NNG + 과/JC
경제계가	경제/NNG + 계/XSN + 가/JKS
이	이/MM
절박하고	절박/XR + 하/XSA + 고/EC
현실적인	현실/NNG + 적/XSN + 이/VCP + ㄴ/ETM
산업	산업/NNG
구조	구조/NNG
개혁에	개혁/NNG + 에/JKB
합의하고	합의/NNG + 하/XSV + 고/EC
실천하지	실천/NNG + 하/XSV + 지/EC
않으면	않/VX + 으면/EC
우리	우리/NP
경제는	경제/NNG + 는/JX
고작	고작/MAG
지역	지역/NNG
경제권의	경제/NNG + 권/XSN + 의/JKG
범주를	범주/NNG + 를/JKO
넘어서지	넘어서/VV + 지/EC
못하는	못하/VX + 는/ETM
소경제로	소경제/NNG + 로/JKB
주저앉을	주저앉/VV + 을/ETM
수밖에	수/NNB + 밖에/JX
없을	없/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

사회	사회/NNG
각계의	각계/NNG + 의/JKG
이해	이해/NNG
집단이나	집단/NNG + 이나/JC
근로자들	근로자/NNG + 들/XSN
또한	또한/MAG
이	이/NP
같은	같/VA + 은/ETM
우리의	우리/NP + 의/JKG
수준과	수준/NNG + 과/JC
잠재력의	잠재력/NNG + 의/JKG
한계를	한계/NNG + 를/JKO
냉철하게	냉철/XR + 하/XSA + 게/EC
인식하고	인식/NNG + 하/XSV + 고/EC
산업	산업/NNG
개혁에	개혁/NNG + 에/JKB
같이	같이/MAG
참여해야	참여/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

경제	경제/NNG
각계가	각계/NNG + 가/JKS
총체적으로	총체/NNG + 적/XSN + 으로/JKB
참여하는	참여/NNG + 하/XSV + 는/ETM
산업	산업/NNG
구조	구조/NNG
혁신은	혁신/NNG + 은/JX
우리가	우리/NP + 가/JKS
한번도	한/MM + 번/NNB + 도/JX
경험한	경험/NNG + 하/XSV + ㄴ/ETM
적이	적/NNB + 이/JKS
없기	없/VA + 기/ETN
때문에	때문/NNB + 에/JKB
결코	결코/MAG
순탄치는	순탄/XR + 하/XSA + 지/EC + 는/JX
않을	않/VX + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이것은	이것/NP + 은/JX
과거처럼	과거/NNG + 처럼/JKB
정부가	정부/NNG + 가/JKS
주도할	주도/NNG + 하/XSV + ㄹ/ETM
수도	수/NNB + 도/JX
없고	없/VA + 고/EC
기업이나	기업/NNG + 이나/JC
근로자의	근로자/NNG + 의/JKG
희생만으로	희생/NNG + 만/JX + 으로/JKB
가능한	가능/NNG + 하/XSA + ㄴ/ETM
일도	일/NNG + 도/JX
아니다.	아니/VCN + 다/EF + ./SF

어려움을	어려움/NNG + 을/JKO
나누어	나누/VV + 어/EC
가지기	가지/VV + 기/ETN
위해서는	위하/VV + 아서/EC + 는/JX
모든	모든/MM
기득권과	기득/NNG + 권/XSN + 과/JC
지배력에의	지배력/NNG + 에/JKB + 의/JKG
집착에서	집착/NNG + 에서/JKB
벗어나야	벗어나/VV + 아야/EC
하며,	하/VX + 며/EC + ,/SP
그	그/MM
노력의	노력/NNG + 의/JKG
과실을	과실/NNG + 을/JKO
같이	같이/MAG
나누어	나누/VV + 어/EC
가질	가지/VV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
확신을	확신/NNG + 을/JKO
모두가	모두/NNG + 가/JKS
가질	가지/VV + ㄹ/ETM
수	수/NNB
있어야	있/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

정부와	정부/NNG + 와/JC
정책은	정책/NNG + 은/JX
이런	이런/MM
환경과	환경/NNG + 과/JC
조건을	조건/NNG + 을/JKO
만들어	만들/VV + 어/EC
주는	주/VX + 는/ETM
데	데/NNB
더	더/MAG
힘을	힘/NNG + 을/JKO
쏟아야	쏟/VV + 아야/EC
할	하/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

90년대의	90/SN + 년대/NNB + 의/JKG
정치는	정치/NNG + 는/JX
89년까지의	89/SN + 년/NNB + 까지/JX + 의/JKG
정치와는	정치/NNG + 와/JKB + 는/JX
전적으로	전적/NNG + 으로/JKB
달라야	다르/VA + 아야/EC
한다는	하/VX + ㄴ다는/ETM
것은	것/NNB + 은/JX
우리가	우리/NP + 가/JKS
이미	이미/MAG
역설했다.	역설/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그렇다면	그렇/VA + 다면/EC
새로운	새롭/VA + ㄴ/ETM
정치는	정치/NNG + 는/JX
어떤	어떤/MM
모습의	모습/NNG + 의/JKG
정치여야	정치/NNG + 이/VCP + 어야/EC
하는가.	하/VX + 는가/EF + ./SF

첫째는	첫째/NR + 는/JX
악과	악/NNG + 과/JC
선의	선/NNG + 의/JKG
싸움	싸움/NNG
같은	같/VA + 은/ETM
정치를	정치/NNG + 를/JKO
졸업하고,	졸업/NNG + 하/XSV + 고/EC + ,/SP
이제부터는	이제/NNG + 부터/JX + 는/JX
정책과	정책/NNG + 과/JC
경륜이	경륜/NNG + 이/JKS
경쟁하는	경쟁/NNG + 하/XSV + 는/ETM
모습의	모습/NNG + 의/JKG
정치가	정치/NNG + 가/JKC
돼야	되/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

지난	지나/VV + ㄴ/ETM
수십년	수십/NR + 년/NNB
동안	동안/NNG
우리의	우리/NP + 의/JKG
정치는	정치/NNG + 는/JX
늘	늘/MAG
독재냐	독재/NNG + 이/VCP + 냐/EC
반독재냐,	반/XPN + 독재/NNG + 이/VCP + 냐/EC + ,/SP
영구집권이냐	영구/NNG + 집권/NNG + 이/VCP + 냐/EC
정권	정권/NNG
교체냐,	교체/NNG + 이/VCP + 냐/EC + ,/SP
탄압이냐,	탄압/NNG + 이/VCP + 냐/EC + ,/SP
저항이냐,	저항/NNG + 이/VCP + 냐/EC + ,/SP
관권	관권/NNG
횡포냐	횡포/NNG + 이/VCP + 냐/EC
민권	민권/NNG
쟁취냐	쟁취/NNG + 이/VCP + 냐/EC
하는	하/VV + 는/ETM
식의	식/NNB + 의/JKG
도덕적인	도덕/NNG + 적/XSN + 이/VCP + ㄴ/ETM
쟁점에	쟁점/NNG + 에/JKB
묶여	묶이/VV + 어/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

비록	비록/MAG
미완의	미완/NNG + 의/JKG
것이기는	것/NNB + 이/VCP + 기/ETN + 는/JX
하지만	하/VV + 지만/EC
이제는	이제/NNG + 는/JX
이른바	이른바/MAG
청산	청산/NNG
정국도	정국/NNG + 도/JX
끝났으니,	끝나/VV + 았/EP + 으니/EC + ,/SP
앞으로의	앞/NNG + 으로/JKB + 의/JKG
정치는	정치/NNG + 는/JX
문자	문자/NNG
그대로	그대로/MAG
세기적인	세기/NNG + 적/XSN + 이/VCP + ㄴ/ETM
위기	위기/NNG
증상들의	증상/NNG + 들/XSN + 의/JKG
극복과	극복/NNG + 과/JC
구조적	구조/NNG + 적/XSN
난제들의	난제/NNG + 들/XSN + 의/JKG
개혁,	개혁/NNG + ,/SP
그리고	그리고/MAJ
'먹고	'/SS + 먹/VV + 고/EC
사는'	살/VV + 는/ETM + '/SS
문제의	문제/NNG + 의/JKG
향상에	향상/NNG + 에/JKB
기능하는	기능/NNG + 하/XSV + 는/ETM
정치가	정치/NNG + 가/JKC
돼야	되/VV + 어야/EC
할	하/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

둘째는	둘째/NR + 는/JX
세계적인	세계/NNG + 적/XSN + 이/VCP + ㄴ/ETM
본격	본격/NNG
정치	정치/NNG
무대에서	무대/NNG + 에서/JKB
우리	우리/NP
한국과	한국/NNP + 과/JC
한국인들의	한국인/NNG + 들/XSN + 의/JKG
발전	발전/NNG
전략이	전략/NNG + 이/JKS
무엇이냐	무엇/NP + 이/VCP + 냐/EC
하는	하/VV + 는/ETM
대정치의	대/XPN + 정치/NNG + 의/JKG
수준에서	수준/NNG + 에서/JKB
정치를	정치/NNG + 를/JKO
해야	하/VV + 아야/EC
한다는	하/VX + ㄴ다는/ETM
점이다.	점/NNG + 이/VCP + 다/EF + ./SF

지금까지	지금/NNG + 까지/JX
우리의	우리/NP + 의/JKG
정계가	정계/NNG + 가/JKS
해	하/VV + 아/EC
온	오/VX + ㄴ/ETM
정치의	정치/NNG + 의/JKG
수준은	수준/NNG + 은/JX
우물	우물/NNG
속에서의	속/NNG + 에서/JKB + 의/JKG
당쟁	당쟁/NNG
정치요	정치/NNG + 이/VCP + 요/EC
권력	권력/NNG
투쟁이며,	투쟁/NNG + 이/VCP + 며/EC + ,/SP
그것을	그것/NP + 을/JKO
위한	위하/VV + ㄴ/ETM
치사한	치사/XR + 하/XSA + ㄴ/ETM
권모술수였다.	권모술수/NNG + 이/VCP + 었/EP + 다/EF + ./SF

이제	이제/MAG
정치인들은	정치인/NNG + 들/XSN + 은/JX
대오각성해서	대오/NNG + 각성/NNG + 하/XSV + 아서/EC
그런	그런/MM
'좁쌀	'/SS + 좁쌀/NNG
정치'는	정치/NNG + '/SS + 는/JX
졸업을	졸업/NNG + 을/JKO
하든지,	하/VV + 든지/EC + ,/SP
못하겠으면	못/MAG + 하/XSV + 겠/EP + 으면/EC
물러가야	물러가/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

셋째로	셋째/NR + 로/JKB
강조돼야	강조/NNG + 되/XSV + 어야/EC
할	하/VX + ㄹ/ETM
것은	것/NNB + 은/JX
공정한	공정/NNG + 하/XSA + ㄴ/ETM
규칙에	규칙/NNG + 에/JKB
따라	따르/VV + 아/EC
여가	여/NNG + 가/JKS
야도	야/NNG + 도/JX
되고	되/VV + 고/EC
야가	야/NNG + 가/JKS
여도	여/NNG + 도/JX
될	되/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
선진적인	선진/NNG + 적/XSN + 이/VCP + ㄴ/ETM
정치의	정치/NNG + 의/JKG
게임이	게임/NNG + 이/JKS
가능해야	가능/NNG + 하/XSA + 아야/EC
하겠다는	하/VX + 겠/EP + 다는/ETM
주문이다.	주문/NNG + 이/VCP + 다/EF + ./SF

이러한	이러/XR + 하/XSA + ㄴ/ETM
새	새/MM
정치로	정치/NNG + 로/JKB
넘어가려면	넘어가/VV + 려면/EC
우선	우선/MAG
지난	지나/VV + ㄴ/ETM
시대의	시대/NNG + 의/JKG
우-적	우/NNG + -/SS + 적/NNG
개념에	개념/NNG + 에/JKB
따라	따르/VV + 아/EC
짜여져	짜이/VV + 어/EC + 지/VX + 어/EC
온	오/VX + ㄴ/ETM
지금까지의	지금/NNG + 까지/JX + 의/JKG
정계가	정계/NNG + 가/JKS
어떤	어떤/MM
형태로든	형태/NNG + 로/JKB + 이/VCP + 든/EC
건설적으로	건설/NNG + 적/XSN + 으로/JKB
재편성되는	재/XPN + 편성/NNG + 되/XSV + 는/ETM
것이	것/NNB + 이/JKS
거의	거의/MAG
불가피할	불가피/XR + 하/XSA + ㄹ/ETM
것으로	것/NNB + 으로/JKB
전망된다.	전망/NNG + 되/XSV + ㄴ다/EF + ./SF

사실상	사실/NNG + 상/XSN
TK와	TK/SL + 와/JC
비TK가	비/XPN + TK/SL + 가/JKS
암투하고,	암투/NNG + 하/XSV + 고/EC + ,/SP
지역과	지역/NNG + 과/JC
지역이	지역/NNG + 이/JKS
서로	서로/MAG
이기려	이기/VV + 려/EC
하고,	하/VV + 고/EC + ,/SP
김대중	김대중/NNP
김영삼	김영삼/NNP
두	두/MM
총재가	총재/NNG + 가/JKS
사사건건	사사건건/MAG
'인간적'	'/SS + 인간/NNG + 적/XSN + '/SS
차원의	차원/NNG + 의/JKG
신경전을	신경전/NNG + 을/JKO
벌이고…	벌이/VV + 고/EC + …/SE
하는	하/VV + 는/ETM
것으로	것/NNB + 으로/JKB
정계가	정계/NNG + 가/JKS
짜여진대서야	짜이/VV + 어/EC + 지/VX + ㄴ대서/EC + 야/JX
그런	그런/MM
정계가	정계/NNG + 가/JKS
어떻게	어떻/VA + 게/EC
90년대	90/SN + 년대/NNB
새	새/MM
정치의	정치/NNG + 의/JKG
역사적인	역사/NNG + 적/XSN + 이/VCP + ㄴ/ETM
지표에	지표/NNG + 에/JKB
부응할	부응/NNG + 하/XSV + ㄹ/ETM
수가	수/NNB + 가/JKS
있겠느냐	있/VV + 겠/EP + 느냐/EC
하는	하/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그야말로	그야말로/MAG
정책과	정책/NNG + 과/JC
경륜과	경륜/NNG + 과/JC
노선에	노선/NNG + 에/JKB
따른	따르/VV + ㄴ/ETM
본격적인	본격/NNG + 적/XSN + 이/VCP + ㄴ/ETM
의미의	의미/NNG + 의/JKG
정계	정계/NNG
판도가	판도/NNG + 가/JKS
이제는	이제/NNG + 는/JX
기필코	기필코/MAG
출현해야	출현/NNG + 하/XSV + 아야/EC
하겠다.	하/VX + 겠/EP + 다/EF + ./SF

우리는	우리/NP + 는/JX
이	이/MM
시점에서	시점/NNG + 에서/JKB
구체적인	구체/NNG + 적/XSN + 이/VCP + ㄴ/ETM
재편성의	재/XPN + 편성/NNG + 의/JKG
방향을	방향/NNG + 을/JKO
논하려	논하/VV + 려/EC
하지는	하/VV + 지/EC + 는/JX
않는다.	않/VX + 는다/EF + ./SF

다만	다만/MAG
환기하는	환기/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
우리의	우리/NP + 의/JKG
이상적이고도	이상/NNG + 적/XSN + 이/VCP + 고/EC + 도/JX
거시적인	거시/NNG + 적/XSN + 이/VCP + ㄴ/ETM
지표는	지표/NNG + 는/JX
건전한	건전/NNG + 하/XSA + ㄴ/ETM
의미의	의미/NNG + 의/JKG
보수주의,	보수주의/NNG + ,/SP
자유주의,	자유주의/NNG + ,/SP
진보주의의	진보주의/NNG + 의/JKG
3대	3/SN + 대/NNG
조류가	조류/NNG + 가/JKS
자유	자유/NNG
민주	민주/NNG
정치	정치/NNG
제도의	제도/NNG + 의/JKG
장에서	장/NNG + 에서/JKB
선진적인	선진/NNG + 적/XSN + 이/VCP + ㄴ/ETM
정치의	정치/NNG + 의/JKG
게임을	게임/NNG + 을/JKO
하게	하/VV + 게/EC
되는	되/VV + 는/ETM
그런	그런/MM
상태를	상태/NNG + 를/JKO
언젠가는	언젠가/MAG + 는/JX
만드는	만들/VV + 는/ETM
것임을	것/NNB + 이/VCP + ㅁ/ETN + 을/JKO
피력할	피력/NNG + 하/XSV + ㄹ/ETM
뿐이다.	뿐/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
이러한	이러/XR + 하/XSA + ㄴ/ETM
장기적인	장기/NNG + 적/XSN + 이/VCP + ㄴ/ETM
목표에	목표/NNG + 에/JKB
도달하기	도달/NNG + 하/XSV + 기/ETN
위해서는	위하/VV + 아서/EC + 는/JX
정계의	정계/NNG + 의/JKG
재편성뿐만	재/XPN + 편성/NNG + 뿐/JX + 만/JX
아니라	아니/VCN + 라/EC
그것을	그것/NP + 을/JKO
보장할	보장/NNG + 하/XSV + ㄹ/ETM
조건의	조건/NNG + 의/JKG
확충-바로	확충/NNG + -/SS + 바로/MAG
제도와	제도/NNG + 와/JC
법규의	법규/NNG + 의/JKG
개정,	개정/NNG + ,/SP
