서울	서울/NNP
아기들을	아기/NNG + 들/XSN + 을/JKO
본다.	보/VV + ㄴ다/EF + ./SF

두	두/MM
할머니는	할머니/NNG + 는/JX
간식과	간식/NNG + 과/JC
화장실	화장실/NNG
이용을	이용/NNG + 을/JKO
맡고	맡/VV + 고/EC
낮잠	낮잠/NNG
재우기도	재우/VV + 기/ETN + 도/JX
이들	이/NP + 들/XSN
몫이다.	몫/NNG + 이/VCP + 다/EF + ./SF

지난해	지난해/NNG
10월,	10/SN + 월/NNB + ,/SP
건평	건평/NNG
70여	70/SN + 여/XSN
평의	평/NNB + 의/JKG
자기	자기/NP
집을	집/NNG + 을/JKO
어린이집으로	어린이집/NNG + 으로/JKB
만들기까지	만들/VV + 기/ETN + 까지/JX
김씨	김/NNP + 씨/NNB
자신이	자신/NNG + 이/JKS
겪은	겪/VV + 은/ETM
육아	육아/NNG
문제가	문제/NNG + 가/JKS
바로	바로/MAG
오늘	오늘/NNG
일하는	일/NNG + 하/XSV + 는/ETM
문제	문제/NNG
엄마들이	엄마/NNG + 들/XSN + 이/JKS
맞닥뜨리고	맞닥뜨리/VV + 고/EC
있는	있/VX + 는/ETM
문제	문제/NNG
그대로였다.	그대로/MAG + 이/VCP + 었/EP + 다/EF + ./SF

"제가	"/SS + 제/NP + 가/JKS
식당을	식당/NNG + 을/JKO
하고	하/VV + 고/EC
시부모님	시부모/NNG + 님/XSN
두	두/MM
분이	분/NNB + 이/JKS
아이를	아이/NNG + 를/JKO
봐주셨는데	보/VV + 아/EC + 주/VX + 시/EP + 었/EP + 는데/EC
시어머니가	시어머니/NNG + 가/JKS
반	반/NNG
년	년/NNB
동안	동안/NNG
캐나다	캐나다/NNP
딸네	딸/NNG + 네/XSN
집에	집/NNG + 에/JKB
가	가/VV + 아/EC
계시게	계시/VX + 게/EC
됐어요.	되/VV + 었/EP + 어요/EF + ./SF

아이를	아이/NNG + 를/JKO
맡길만한	맡기/VV + ㄹ/ETM + 만/NNB + 하/XSA + ㄴ/ETM
데를	데/NNB + 를/JKO
찾아	찾/VV + 아/EC
다녔는데,	다니/VV + 었/EP + 는데/EC + ,/SP
저녁	저녁/NNG
6시	6/SN + 시/NNB
이후는	이후/NNG + 는/JX
다들	다/MAG + 들/XSN
어렵다고	어렵/VA + 다고/EC
하더군요."	하/VV + 더군요/EF + ./SF + "/SS

김씨는	김/NNP + 씨/NNB + 는/JX
아침	아침/NNG
11시부터	11/SN + 시/NNB + 부터/JX
밤	밤/NNG
11시까지	11/SN + 시/NNB + 까지/JX
식당을	식당/NNG + 을/JKO
지켜야	지키/VV + 어야/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

결혼하고	결혼/NNG + 하/XSV + 고/EC
9년만에	9/SN + 년/NNB + 만/NNB + 에/JKB
어렵게	어렵/VA + 게/EC
얻은	얻/VV + 은/ETM
딸을	딸/NNG + 을/JKO
두고	두/VV + 고/EC
몇	몇/MM
차례	차례/NNG
어려운	어렵/VA + ㄴ/ETM
고비를	고비/NNG + 를/JKO
넘긴	넘기/VV + ㄴ/ETM
뒤,	뒤/NNG + ,/SP
김씨는	김/NNP + 씨/NNB + 는/JX
남편과	남편/NNG + 과/JKB
상의했다.	상의/NNG + 하/XSV + 았/EP + 다/EF + ./SF

식당을	식당/NNG + 을/JKO
그만두고	그만두/VV + 고/EC
아예	아예/MAG
자기	자기/NP
집에	집/NNG + 에/JKB
보육	보육/NNG
시설을	시설/NNG + 을/JKO
차리면	차리/VV + 면/EC
어떻겠느냐는	어떻/VA + 겠/EP + 느냐는/ETM
의견을	의견/NNG + 을/JKO
냈다.	내/VV + 었/EP + 다/EF + ./SF

시부모님이	시부모/NNG + 님/XSN + 이/JKS
먼저	먼저/MAG
찬성했고,	찬성/NNG + 하/XSV + 았/EP + 고/EC + ,/SP
남편도	남편/NNG + 도/JX
동의했다.	동의/NNG + 하/XSV + 았/EP + 다/EF + ./SF

김씨도	김/NNP + 씨/NNB + 도/JX
보육	보육/NNG
교사	교사/NNG
수업은	수업/NNG + 은/JX
받았지만	받/VV + 았/EP + 지만/EC
마침	마침/MAG
딸이	딸/NNG + 이/JKS
수두에	수두/NNG + 에/JKB
걸리는	걸리/VV + 는/ETM
바람에	바람/NNB + 에/JKB
'현장	'/SS + 현장/NNG
실습'을	실습/NNG + '/SS + 을/JKO
못해	못/MAG + 하/XSV + 아/EC
자격증을	자격증/NNG + 을/JKO
아직	아직/MAG
못땄다.	못/MAG + 따/VV + 았/EP + 다/EF + ./SF

그렇게	그렇/VA + 게/EC
해서	하/VV + 아서/EC
후암동	후암동/NNP
2층집이	2/SN + 층/NNG + 집/NNG + 이/JKS
알록달록	알록달록/MAG
장난감으로	장난감/NNG + 으로/JKB
가득	가득/MAG
찬	차/VV + ㄴ/ETM
'어린이	'/SS + 어린이/NNG
궁전'이	궁전/NNG + '/SS + 이/JKC
됐다.	되/VV + 었/EP + 다/EF + ./SF

지금	지금/MAG
김씨는	김/NNP + 씨/NNB + 는/JX
자신의	자신/NNG + 의/JKG
선택이	선택/NNG + 이/JKS
옳았다는	옳/VA + 았/EP + 다는/ETM
자신감으로	자신감/NNG + 으로/JKB
즐겁다.	즐겁/VA + 다/EF + ./SF

"두	"/SS + 두/MM
살이	살/NNB + 이/JKC
다	다/MAG
되도록	되/VV + 도록/EC
'엄마'	'/SS + 엄마/NNG + '/SS
한	한/MM
마디	마디/NNG
제대로	제대로/MAG
못하던	못/MAG + 하/XSV + 던/ETM
아이가	아이/NNG + 가/JKS
다른	다른/MM
아이들과	아이/NNG + 들/XSN + 과/JKB
어울린지	어울리/VV + ㄴ지/EC
한	한/MM
달도	달/NNG + 도/JX
안돼	안/MAG + 되/XSV + 어/EC
말문이	말문/NNG + 이/JKS
터지더군요.	터지/VV + 더군요/EF + ./SF

"	"/SS
그러나	그러나/MAJ
정작	정작/NNG
'보람'을	'/SS + 보람/NNG + '/SS + 을/JKO
느끼는	느끼/VV + 는/ETM
일은	일/NNG + 은/JX
자기	자기/NP
아이의	아이/NNG + 의/JKG
'발전'이	'/SS + 발전/NNG + '/SS + 이/JKC
아니다.	아니/VCN + 다/EF + ./SF

이	이/MM
집을	집/NNG + 을/JKO
찾아	찾/VV + 아/EC
온	오/VV + ㄴ/ETM
12	12/SN
명의	명/NNB + 의/JKG
다른	다른/MM
집	집/NNG
아이들이	아이/NNG + 들/XSN + 이/JKS
건강하게	건강/NNG + 하/XSA + 게/EC
뛰놀고	뛰놀/VV + 고/EC
그들의	그/NP + 들/XSN + 의/JKG
일하는	일/NNG + 하/XSV + 는/ETM
부모가	부모/NNG + 가/JKS
안심하고	안심/NNG + 하/XSV + 고/EC
자신과	자신/NNG + 과/JC
어린이집을	어린이집/NNG + 을/JKO
믿어주는	믿/VV + 어/EC + 주/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이	이/MM
집	집/NNG
막내인	막내/NNG + 이/VCP + ㄴ/ETM
생후	생후/NNG
5	5/SN
개월	개월/NNB
된	되/VV + ㄴ/ETM
난이는	난이/NNP + 는/JX
아버지가	아버지/NNG + 가/JKS
건강식품원을	건강식품원/NNG + 을/JKO
하고	하/VV + 고/EC
엄마는	엄마/NNG + 는/JX
미용실을	미용실/NNG + 을/JKO
경영한다.	경영/NNG + 하/XSV + ㄴ다/EF + ./SF

일이	일/NNG + 이/JKS
일찍	일찍/MAG
끝나는	끝나/VV + 는/ETM
쪽은	쪽/NNB + 은/JX
아버지.	아버지/NNG + ./SF

저녁	저녁/NNG
8시	8/SN + 시/NNB
무렵이면	무렵/NNB + 이/VCP + 면/EC
데리러	데리/VV + 러/EC
온다.	오/VV + ㄴ다/EF + ./SF

명동에서	명동/NNP + 에서/JKB
큰	크/VA + ㄴ/ETM
옷집을	옷/NNG + 집/NNG + 을/JKO
하는	하/VV + 는/ETM
준(34	준/NNP + (/SS + 34/SN
개월)이	개월/NNB + )/SS + 이/NA
부모님은	부모/NNG + 님/XSN + 은/JX
밤	밤/NNG
10시,	10/SN + 시/NNB + ,/SP
때로는	때로/MAG + 는/JX
12시가	12/SN + 시/NNB + 가/JKC
돼야	되/VV + 어야/EC
아이를	아이/NNG + 를/JKO
데리러	데리/VV + 러/EC
올	오/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

부모가	부모/NNG + 가/JKS
이혼한	이혼/NNG + 하/XSV + ㄴ/ETM
인경이	인경이/NNP
자매(가명·16	자매/NNG + (/SS + 가명/NNG + ·/SP + 16/SN
개월,	개월/NNB + ,/SP
43	43/SN
개월)는	개월/NNB + )/SS + 는/JX
지방으로	지방/NNG + 으로/JKB
일다니는	일/NNG + 다니/VV + 는/ETM
아버지가	아버지/NNG + 가/JKS
아예	아예/MAG
이	이/MM
곳에	곳/NNG + 에/JKB
아이들을	아이/NNG + 들/XSN + 을/JKO
맡겨	맡기/VV + 어/EC
둔	두/VX + ㄴ/ETM
상태.	상태/NNG + ./SF

김씨의	김/NNP + 씨/NNB + 의/JKG
시어머니가	시어머니/NNG + 가/JKS
아이들을	아이/NNG + 들/XSN + 을/JKO
데리고	데리/VV + 고/EC
잔다.	자/VV + ㄴ다/EF + ./SF

다른	다른/MM
아이들도	아이/NNG + 들/XSN + 도/JX
엄마가	엄마/NNG + 가/JKS
학원	학원/NNG
강사,	강사/NNG + ,/SP
약국	약국/NNG
운영때문에	운영/NNG + 때문/NNB + 에/JKB
밤	밤/NNG
10시에나	10/SN + 시/NNB + 에/JKB + 나/JX
데리러	데리/VV + 러/EC
올	오/VV + ㄹ/ETM
수	수/NNB
있고	있/VV + 고/EC
부모	부모/NNG
모두	모두/MAG
토-일요일에만	토/NNG + -/SS + 일요일/NNG + 에/JKB + 만/JX
일하는	일/NNG + 하/XSV + 는/ETM
승리((29	승리/NNG + (/SS + (/SS + 29/SN
개월)는	개월/NNB + )/SS + 는/JX
남들	남/NNG + 들/XSN
쉬는	쉬/VV + 는/ETM
주말에만	주말/NNG + 에/JKB + 만/JX
이곳을	이곳/NP + 을/JKO
찾는다.	찾/VV + 는다/EF + ./SF

"아이	"/SS + 아이/NNG
때문에	때문/NNB + 에/JKB
고민하는	고민/NNG + 하/XSV + 는/ETM
부모들이	부모/NNG + 들/XSN + 이/JKS
그렇게	그렇/VA + 게/EC
많을	많/VA + 을/ETM
줄,	줄/NNB + ,/SP
저도	저/NP + 도/JX
몰랐어요.	모르/VV + 았/EP + 어요/EF + ./SF

직장	직장/NNG
다니는	다니/VV + 는/ETM
사람보다,	사람/NNG + 보다/JKB + ,/SP
장사하는	장사/NNG + 하/XSV + 는/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
더	더/MAG
힘들어요.	힘들/VA + 어요/EF + ./SF

밤	밤/NNG
늦게까지	늦/VA + 게/EC + 까지/JX
일하는	일/NNG + 하/XSV + 는/ETM
데,	데/NNB + ,/SP
데리고	데리/VV + 고/EC
다닐	다니/VV + ㄹ/ETM
수도	수/NNB + 도/JX
없고,	없/VA + 고/EC + ,/SP
먹고	먹/VV + 고/EC
살자니	살/VV + 자니/EC
일을	일/NNG + 을/JKO
그만	그만/MAG
둘	두/VV + ㄹ/ETM
수도	수/NNB + 도/JX
없고…."	없/VA + 고/EC + …/SE + ./SF + "/SS

자신의	자신/NNG + 의/JKG
남편도	남편/NNG + 도/JX
새벽	새벽/NNG
2시가	2/SN + 시/NNB + 가/JKC
돼야	되/VV + 어야/EC
집에	집/NNG + 에/JKB
들어올	들어오/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
직업이기에,	직업/NNG + 이/VCP + 기에/EC + ,/SP
비교적	비교/NNG + 적/XSN
부담	부담/NNG
없이	없이/MAG
아이들을	아이/NNG + 들/XSN + 을/JKO
밤늦게까지	밤늦/VA + 게/EC + 까지/JX
맡아	맡/VV + 아/EC
줄	주/VX + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
그는	그/NP + 는/JX
요즘	요즘/NNG
젖먹이를	젖먹이/NNG + 를/JKO
좀	좀/MAG
봐달라는	보/VV + 아/EC + 달/VX + 라는/ETM
엄마들이	엄마/NNG + 들/XSN + 이/JKS
찾아와,	찾아오/VV + 아/EC + ,/SP
아예	아예/MAG
6	6/SN
개월	개월/NNB
이하	이하/NNG
젖먹이만	젖먹이/NNG + 만/JX
따로	따로/MAG
볼까	보/VV + ㄹ까/EC
생각중이라고	생각/NNG + 중/NNB + 이/VCP + 라고/EC
했다.	하/VV + 았/EP + 다/EF + ./SF

"딸애가	"/SS + 딸애/NNG + 가/JKS
좀	좀/MAG
크면,	크/VV + 면/EC + ,/SP
우리	우리/NP
살림을	살림/NNG + 을/JKO
2층으로	2/SN + 층/NNG + 으로/JKB
옮기고	옮기/VV + 고/EC
정말	정말/MAG
사정이	사정/NNG + 이/JKS
급한	급하/VA + ㄴ/ETM
아이들을	아이/NNG + 들/XSN + 을/JKO
위한	위하/VV + ㄴ/ETM
집으로	집/NNG + 으로/JKB
운영해	운영/NNG + 하/XSV + 아/EC
보고	보/VX + 고/EC
싶어요.	싶/VX + 어요/EF + ./SF

남편과	남편/NNG + 과/JKB
둘이	둘/NR + 이/JKS
할아버지	할아버지/NNG
할머니가	할머니/NNG + 가/JKC
되어서도	되/VV + 어서/EC + 도/JX
이	이/MM
집에서	집/NNG + 에서/JKB
어린이집	어린이집/NNG
하자고	하/VV + 자고/EC
이미	이미/MAG
약속해	약속/NNG + 하/XSV + 아/EC
두었습니다."	두/VX + 었/EP + 습니다/EF + ./SF + "/SS

24	24/SN
개월	개월/NNB
이상	이상/NNG
월	월/NNG
20만	20/SN + 만/NR
원,	원/NNB + ,/SP
그	그/MM
아래	아래/NNG
25만	25/SN + 만/NR
원씩	원/NNB + 씩/XSN
보육비	보육비/NNG
받는	받/VV + 는/ETM
것을	것/NNB + 을/JKO
다섯	다섯/NR
사람	사람/NNG
몫으로	몫/NNG + 으로/JKB
똑같이	똑같이/MAG
나눈다.	나누/VV + ㄴ다/EF + ./SF

시어머니와	시어머니/NNG + 와/JC
친정어머니	친정어머니/NNG
두	두/MM
'노인'도	'/SS + 노인/NNG + '/SS + 도/JX
보수를	보수/NNG + 를/JKO
받는	받/VV + 는/ETM
자기	자기/NP
'일'이	'/SS + 일/NNG + '/SS + 이/JKS
생긴	생기/VV + ㄴ/ETM
것을	것/NNB + 을/JKO
자랑스럽게	자랑/NNG + 스럽/XSA + 게/EC
여긴다.	여기/VV + ㄴ다/EF + ./SF

김씨는	김/NNP + 씨/NNB + 는/JX
"정말	"/SS + 정말/MAG
아이를	아이/NNG + 를/JKO
좋아하고,	좋아하/VV + 고/EC + ,/SP
자신의	자신/NNG + 의/JKG
사생활을	사생활/NNG + 을/JKO
조금	조금/MAG
희생할	희생/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다면	있/VV + 다면/EC
자기	자기/NP
아이	아이/NNG
기르는	기르/VV + 는/ETM
정성을	정성/NNG + 을/JKO
이웃	이웃/NNG
아기와	아기/NNG + 와/JKB
나누면서	나누/VV + 면서/EC
우리	우리/NP
사회의	사회/NNG + 의/JKG
숙제도	숙제/NNG + 도/JX
풀	풀/VV + ㄹ/ETM
수	수/NNB
있지	있/VV + 지/EC
않겠느냐"고	않/VX + 겠/EP + 느냐/EC + "/SS + 고/JKQ
제안한다.	제안/NNG + 하/XSV + ㄴ다/EF + ./SF

서울	서울/NNP
시내가	시내/NNG + 가/JKS
한	한/MM
눈에	눈/NNG + 에/JKB
내려다	내리/VV + 어다/EC
보이는	보이/VV + 는/ETM
종로구	종로구/NNP
창신동	창신동/NNP
산꼭대기,	산꼭대기/NNG + ,/SP
서울	서울/NNP
성벽	성벽/NNG
바로	바로/MAG
아래	아래/NNG
해송	해송/NNP
아기둥지가	아기/NNG + 둥지/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

품팔이	품팔이/NNG
일용근로자,	일용/NNG + 근로자/NNG + ,/SP
평화시장,	평화시장/NNP + ,/SP
동대문시장에서	동대문시장/NNP + 에서/JKB
재단사	재단사/NNG
봉재사로	봉재사/NNG + 로/JKB
일하는	일/NNG + 하/XSV + 는/ETM
맞벌이	맞벌이/NNG
부부가	부부/NNG + 가/JKS
특히	특히/MAG
많은	많/VA + 은/ETM
이	이/MM
곳에	곳/NNG + 에/JKB
해송	해송/NNP
아기둥지가	아기/NNG + 둥지/NNG + 가/JKS
들어선	들어서/VV + ㄴ/ETM
것이	것/NNB + 이/JKS
84년	84/SN + 년/NNB
5월.	5/SN + 월/NNB + ./SF

만	만/MM
9년	9/SN + 년/NNB
세월을	세월/NNG + 을/JKO
이웃과	이웃/NNG + 과/JKB
살을	살/NNG + 을/JKO
맞대고	맞대/VV + 고/EC
부대끼면서	부대끼/VV + 면서/EC
이제	이제/MAG
이곳은	이곳/NP + 은/JX
아기를	아기/NNG + 를/JKO
기르는	기르/VV + 는/ETM
이	이/MM
지역	지역/NNG
주민들이	주민/NNG + 들/XSN + 이/JKS
대부분	대부분/NNG
'내	'/SS + 나/NP + 의/JKG
집'처럼	집/NNG + '/SS + 처럼/JKB
생각하는	생각/NNG + 하/XSV + 는/ETM
곳이	곳/NNG + 이/JKC
됐다.	되/VV + 었/EP + 다/EF + ./SF

해송	해송/NNP
아기둥지에	아기/NNG + 둥지/NNG + 에/JKB
깃을	깃/NNG + 을/JKO
드리운	드리우/VV + ㄴ/ETM
아기들은	아기/NNG + 들/XSN + 은/JX
15	15/SN
명	명/NNB
안팎.	안팎/NNG + ./SF

3세~6세	3/SN + 세/NNB + ~/SO + 6/SN + 세/NNB
아이들을	아이/NNG + 들/XSN + 을/JKO
3	3/SN
명의	명/NNB + 의/JKG
보육	보육/NNG
교사와	교사/NNG + 와/JC
대학생	대학/NNG + 생/XSN
자원봉사자	자원/NNG + 봉사자/NNG
'언니-오빠'팀이	'/SS + 언니/NNG + -/SS + 오빠/NNG + '/SS + 팀/NNG + 이/JKS
돌봐	돌보/VV + 아/EC
준다.	주/VX + ㄴ다/EF + ./SF

아기를	아기/NNG + 를/JKO
맡긴	맡기/VV + ㄴ/ETM
부모들의	부모/NNG + 들/XSN + 의/JKG
직업은	직업/NNG + 은/JX
이	이/MM
동네	동네/NNG
직업	직업/NNG
분포	분포/NNG
그대로다.	그대로/MAG + 이/VCP + 다/EF + ./SF

직업이	직업/NNG + 이/JKS
있다가	있/VV + 다가/EC
없다가	없/VA + 다가/EC
하는	하/VV + 는/ETM
경우도	경우/NNG + 도/JX
많아,	많/VA + 아/EC + ,/SP
월	월/NNG
평균	평균/NNG
가구소득	가구/NNG + 소득/NNG
70만원을	70/SN + 만/NR + 원/NNB + 을/JKO
맴도는	맴돌/VV + 는/ETM
경우가	경우/NNG + 가/JKS
대부분이다.	대부분/NNG + 이/VCP + 다/EF + ./SF

이들로부터	이/NP + 들/XSN + 로부터/JKB
받는	받/VV + 는/ETM
보육비는	보육비/NNG + 는/JX
3만원	3/SN + 만/NR + 원/NNB
정도로,	정도/NNG + 로/JKB + ,/SP
아기들	아기/NNG + 들/XSN
식비몫이다.	식비/NNG + 몫/NNG + 이/VCP + 다/EF + ./SF

교사	교사/NNG
봉급과	봉급/NNG + 과/JC
대부분의	대부분/NNG + 의/JKG
운영-관리비는	운영/NNG + -/SS + 관리비/NNG + 는/JX
교회와	교회/NNG + 와/JC
불교	불교/NNG
단체,	단체/NNG + ,/SP
개인	개인/NNG
후원자들이	후원자/NNG + 들/XSN + 이/JKS
조금씩	조금/NNG + 씩/XSN
모아	모으/VV + 아/EC
주는	주/VX + 는/ETM
후원금에	후원금/NNG + 에/JKB
기대고	기대/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

"아이	"/SS + 아이/NNG
문제는	문제/NNG + 는/JX
지역	지역/NNG
사회	사회/NNG
문제의	문제/NNG + 의/JKG
시작이며	시작/NNG + 이/VCP + 며/EC
끝입니다"	끝/NNG + 이/VCP + ㅂ니다/EC + "/SS
해송	해송/NNP
아기둥지	아기/NNG + 둥지/NNG
창립멤버로	창립/NNG + 멤버/NNG + 로/JKB
운영위원회	운영/NNG + 위원회/NNG
간사로	간사/NNG + 로/JKB
있으며,	있/VV + 으며/EC + ,/SP
농산물	농산물/NNG
직거래	직거래/NNG
생협운동을	생협/NNG + 운동/NNG + 을/JKO
하고	하/VV + 고/EC
있는	있/VX + 는/ETM
성문영씨는	성문영/NNP + 씨/NNB + 는/JX
"지역	"/SS + 지역/NNG
주민들이	주민/NNG + 들/XSN + 이/JKS
아기둥지의	아기/NNG + 둥지/NNG + 의/JKG
프로그램과	프로그램/NNG + 과/JC
재정형편에	재정/NNG + 형편/NNG + 에/JKB
관심을	관심/NNG + 을/JKO
갖고	갖/VV + 고/EC
적극	적극/NNG
참여하면서	참여/NNG + 하/XSV + 면서/EC
사회의식과	사회의식/NNG + 과/JC
자녀	자녀/NNG
교육관이	교육관/NNG + 이/JKS
긍정적으로	긍정/NNG + 적/XSN + 으로/JKB
바뀌는	바뀌/VV + 는/ETM
것을	것/NNB + 을/JKO
확인했다"고	확인/NNG + 하/XSV + 았/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

전세-월세	전세/NNG + -/SS + 월세/NNG
인상,	인상/NNG + ,/SP
실업,	실업/NNG + ,/SP
철거	철거/NNG
문제	문제/NNG
같은	같/VA + 은/ETM
'생존	'/SS + 생존/NNG
문제'가	문제/NNG + '/SS + 가/JKC
개인	개인/NNG
문제가	문제/NNG + 가/JKC
아니라	아니/VCN + 라/EC
탁아소	탁아소/NNG
부모회를	부모회/NNG + 를/JKO
통해	통하/VV + 아/EC
'공동의	'/SS + 공동/NNG + 의/JKG
문제'가	문제/NNG + '/SS + 가/JKC
되면서	되/VV + 면서/EC
함께	함께/MAG
대처해	대처/NNG + 하/XSV + 아/EC
가게	가/VX + 게/EC
됐다는	되/VV + 었/EP + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

해송	해송/NNP
아기둥지는	아기/NNG + 둥지/NNG + 는/JX
'달동네'를	'/SS + 달동네/NNG + '/SS + 를/JKO
중심으로	중심/NNG + 으로/JKB
자리잡은	자리/NNG + 잡/VV + 은/ETM
수	수/NNG
많은	많/VA + 은/ETM
민간	민간/NNG
탁아시설의	탁아/NNG + 시설/NNG + 의/JKG
'원조'다.	'/SS + 원조/NNG + '/SS + 이/VCP + 다/EF + ./SF

1978년.서울	1978/SN + 년/NNB + ./SF + 서울/NNP

신정동에서	신정동/NNP + 에서/JKB
노동	노동/NNG
야학을	야학/NNG + 을/JKO
이끌던	이끌/VV + 던/ETM
젊은	젊/VA + 은/ETM
운동가들은	운동가/NNG + 들/XSN + 은/JX
밤	밤/NNG
늦게	늦/VA + 게/EC
공장서	공장/NNG + 서/JKB
돌아와,	돌아오/VV + 아/EC + ,/SP
수업시간	수업/NNG + 시간/NNG
내내	내내/MAG
꾸벅꾸벅	꾸벅꾸벅/MAG
조는	졸/VV + 는/ETM
노동자들을	노동자/NNG + 들/XSN + 을/JKO
보며	보/VV + 며/EC
"이들과	"/SS + 이/NP + 들/XSN + 과/JKB
만나는	만나/VV + 는/ETM
것이	것/NNB + 이/JKS
뒤늦은	뒤늦/VA + 은/ETM
것	것/NNB
아닌가"하는	아니/VCN + ㄴ가/EC + "/SS + 하/VV + 는/ETM
회의에	회의/NNG + 에/JKB
부딪혔다.	부딪히/VV + 었/EP + 다/EF + ./SF

좀	좀/MAG
더	더/MAG
일찍	일찍/MAG
그들의	그/NP + 들/XSN + 의/JKG
삶을	삶/NNG + 을/JKO
개척하도록	개척/NNG + 하/XSV + 도록/EC
도움을	도움/NNG + 을/JKO
주어야겠다는	주/VV + 어야/EC + 하/VX + 겠/EP + 다는/ETM
생각을	생각/NNG + 을/JKO
하게됐다.	하/VV + 게/EC + 되/VV + 었/EP + 다/EF + ./SF

"세상을	"/SS + 세상/NNG + 을/JKO
긍정적으로	긍정/NNG + 적/XSN + 으로/JKB
보는	보/VV + 는/ETM
마음을	마음/NNG + 을/JKO
갖게	갖/VV + 게/EC
하려면	하/VX + 려면/EC
어린아이	어린아이/NNG
때부터	때/NNG + 부터/JX
사람을	사람/NNG + 을/JKO
믿고	믿/VV + 고/EC
의지할	의지/NNG + 하/XSV + ㄹ/ETM
데가	데/NNB + 가/JKS
있어야겠다"고	있/VV + 어야/EC + 하/VX + 겠/EP + 다/EC + "/SS + 고/JKQ
판단한	판단/NNG + 하/XSV + ㄴ/ETM
이들은	이/NP + 들/XSN + 은/JX
노동자들의	노동자/NNG + 들/XSN + 의/JKG
2세들을	2/SN + 세/NNB + 들/XSN + 을/JKO
새롭게	새롭/VA + 게/EC
돌보기로	돌보/VV + 기/ETN + 로/JKB
뜻을	뜻/NNG + 을/JKO
모았다.	모으/VV + 았/EP + 다/EF + ./SF

1년이	1/SN + 년/NNB + 이/JKS
넘는	넘/VV + 는/ETM
준비기간을	준비/NNG + 기간/NNG + 을/JKO
거쳐,	거치/VV + 어/EC + ,/SP
당시	당시/NNG
서울서	서울/NNP + 서/JKB
가장	가장/MAG
가난한	가난/NNG + 하/XSA + ㄴ/ETM
곳으로	곳/NNG + 으로/JKB
꼽혔던	꼽히/VV + 었/EP + 던/ETM
신림동	신림동/NNP
